filename,times,threshold,segLen,maxDiffAB,correctBitRate,randomBitRate,noiseBitRate,correctWholeRate,randomWholeRate,noiseWholeRate
../data/data_mobile_outdoor_2.mat,7,0.1,8,0.056894685,1,0.173913043,0,1,0,0
../data/data_mobile_outdoor_2.mat,7,0.1,9,0.050661426,1,0.207792208,0,1,0,0
../data/data_mobile_outdoor_2.mat,7,0.1,10,0.05356577,1,0.166666667,0,1,0,0
,,,,,,,,,,
filename,times,threshold,segLen,maxDiffAB,correctBitRate,randomBitRate,noiseBitRate,correctWholeRate,randomWholeRate,noiseWholeRate
../data/data_mobile_outdoor_2.mat,81,0.1,2,1,0.511242335,0.240744947,0.061548944,0.074074074,0,0
../data/data_mobile_outdoor_2.mat,81,0.1,3,0.124532941,0.950474183,0.173515982,0.004917457,0.543209877,0,0
../data/data_mobile_outdoor_2.mat,81,0.1,4,0.116184833,0.953530752,0.187243736,0.001366743,0.827160494,0,0
../data/data_mobile_outdoor_2.mat,81,0.1,5,0.089943045,1,0.235635519,0,1,0,0
../data/data_mobile_outdoor_2.mat,81,0.1,6,0.079782362,1,0.228008445,0,1,0,0
../data/data_mobile_outdoor_2.mat,81,0.1,7,0.072888824,0.998373984,0.169105691,0,0.975308642,0,0
../data/data_mobile_outdoor_2.mat,81,0.1,8,0.096003582,0.988040478,0.171113155,0,0.901234568,0,0
../data/data_mobile_outdoor_2.mat,81,0.1,9,0.082736773,0.98855359,0.157127992,0,0.962962963,0.012345679,0
../data/data_mobile_outdoor_2.mat,81,0.1,10,0.096505057,1,0.195812808,0,1,0.012345679,0
,,,,,,,,,,
filename,times,threshold,segLen,maxDiffAB,correctBitRate,randomBitRate,noiseBitRate,correctWholeRate,randomWholeRate,noiseWholeRate
../data/data_mobile_indoor_1.mat,30,0.05,2,1,0.615946439,0.262933658,0.052951917,0.2,0,0
../data/data_mobile_indoor_1.mat,30,0.05,3,0.047183392,0.99905482,0.171077505,0.002835539,0.966666667,0,0
../data/data_mobile_indoor_1.mat,30,0.05,4,0.036910666,1,0.215080346,0,1,0,0
../data/data_mobile_indoor_1.mat,30,0.05,5,0.025902349,1,0.2208,0.0016,1,0.033333333,0
../data/data_mobile_indoor_1.mat,30,0.05,6,0.037922636,0.998076923,0.171153846,0,0.966666667,0,0
../data/data_mobile_indoor_1.mat,30,0.05,7,0.043593717,1,0.112068966,0,1,0,0
../data/data_mobile_indoor_1.mat,30,0.05,8,0.029291133,0.961928934,0.134517766,0,0.966666667,0,0
../data/data_mobile_indoor_1.mat,30,0.05,9,0.042623535,1,0.113636364,0,1,0,0
../data/data_mobile_indoor_1.mat,30,0.05,10,0.049706549,1,0.152027027,0,1,0.033333333,0
,,,,,,,,,,
filename,times,threshold,segLen,maxDiffAB,correctBitRate,randomBitRate,noiseBitRate,correctWholeRate,randomWholeRate,noiseWholeRate
../data/data_mobile_indoor_1.mat,376,0.05,2,1,0.561786237,0.266422645,0.064763299,0.143617021,0,0
../data/data_mobile_indoor_1.mat,376,0.05,3,0.070583979,0.996168295,0.150488355,0.001277235,0.973404255,0.002659574,0
../data/data_mobile_indoor_1.mat,376,0.05,4,0.060698291,0.995614909,0.23529998,0.000298983,0.970744681,0,0
../data/data_mobile_indoor_1.mat,376,0.05,5,0.044034082,0.999120824,0.247550867,0,0.989361702,0.031914894,0
../data/data_mobile_indoor_1.mat,376,0.05,6,0.048845183,0.999548329,0.167118338,0,0.992021277,0.002659574,0
../data/data_mobile_indoor_1.mat,376,0.05,7,0.044847754,0.997716494,0.138415598,0,0.984042553,0,0
../data/data_mobile_indoor_1.mat,376,0.05,8,0.044813417,0.986037365,0.142772861,0,0.92287234,0.013297872,0
../data/data_mobile_indoor_1.mat,376,0.05,9,0.051788614,0.992272727,0.130454545,0,0.965425532,0.002659574,0
../data/data_mobile_indoor_1.mat,376,0.05,10,0.049371734,0.999208234,0.150171549,0,0.992021277,0.007978723,0
,,,,,,,,,,
filename,times,threshold,segLen,maxDiffAB,correctBitRate,randomBitRate,noiseBitRate,correctWholeRate,randomWholeRate,noiseWholeRate
../data/data_mobile_indoor_2.mat,13,0.05,2,1,0.714084507,0.269014085,0.077464789,0.153846154,0,0
../data/data_mobile_indoor_2.mat,13,0.05,3,0.080357237,0.954853273,0.106094808,0,0.846153846,0,0
../data/data_mobile_indoor_2.mat,13,0.05,4,0.051936464,0.971264368,0.186781609,0,0.923076923,0,0
../data/data_mobile_indoor_2.mat,13,0.05,5,0.026387446,1,0.114695341,0,1,0,0
../data/data_mobile_indoor_2.mat,13,0.05,6,0.027781396,1,0.094827586,0,1,0,0
../data/data_mobile_indoor_2.mat,13,0.05,7,0.02600967,1,0.082901554,0,1,0,0
../data/data_mobile_indoor_2.mat,13,0.05,8,0.031079064,0.994186047,0.098837209,0,0.923076923,0,0
../data/data_mobile_indoor_2.mat,13,0.05,9,0.032745893,0.986577181,0.046979866,0,0.846153846,0,0
../data/data_mobile_indoor_2.mat,13,0.05,10,0.029200208,1,0.104,0,1,0,0
,,,,,,,,,,
filename,times,threshold,segLen,maxDiffAB,correctBitRate,randomBitRate,noiseBitRate,correctWholeRate,randomWholeRate,noiseWholeRate
../data/data_mobile_indoor_2.mat,331,0.05,2,1,0.615550398,0.24801061,0.060731653,0.172205438,0,0
../data/data_mobile_indoor_2.mat,331,0.05,3,0.083530864,0.968798085,0.114207557,0.001880663,0.930513595,0,0
../data/data_mobile_indoor_2.mat,331,0.05,4,0.094085156,0.985559163,0.157617822,0.000335833,0.939577039,0,0
../data/data_mobile_indoor_2.mat,331,0.05,5,0.080946998,0.996006845,0.140901312,0.000142613,0.98489426,0.003021148,0
../data/data_mobile_indoor_2.mat,331,0.05,6,0.095123569,0.993502052,0.09370725,0,0.98489426,0,0
../data/data_mobile_indoor_2.mat,331,0.05,7,0.082191569,0.994395516,0.071056845,0,0.98489426,0,0
../data/data_mobile_indoor_2.mat,331,0.05,8,0.079660452,0.98539654,0.078409346,0,0.900302115,0,0
../data/data_mobile_indoor_2.mat,331,0.05,9,0.099421372,0.986985945,0.064289433,0,0.945619335,0,0
../data/data_mobile_indoor_2.mat,331,0.05,10,0.089834691,0.990125673,0.066128067,0,0.963746224,0,0
,,,,,,,,,,
filename,times,threshold,segLen,maxDiffAB,correctBitRate,randomBitRate,noiseBitRate,correctWholeRate,randomWholeRate,noiseWholeRate
../data/data_static_indoor_1.mat,157,0.03,2,1,0.408248655,0.219605499,0.052121937,0.050955414,0,0
../data/data_static_indoor_1.mat,157,0.03,3,0.02866135,0.999638009,0.230226244,0.000904977,0.987261146,0.031847134,0
../data/data_static_indoor_1.mat,157,0.03,4,0.020957485,0.999524715,0.332937262,0.000237643,0.987261146,0.044585987,0
../data/data_static_indoor_1.mat,157,0.03,5,0.014193146,0.999696694,0.565362451,0,0.993630573,0.286624204,0
../data/data_static_indoor_1.mat,157,0.03,6,0.023070448,0.999644001,0.46742613,0,0.993630573,0.178343949,0
../data/data_static_indoor_1.mat,157,0.03,7,0.01996417,0.998722861,0.428693061,0,0.98089172,0.184713376,0
../data/data_static_indoor_1.mat,157,0.03,8,0.019450198,0.997171146,0.437057992,0,0.968152866,0.210191083,0
../data/data_static_indoor_1.mat,157,0.03,9,0.027246766,1,0.358836207,0,1,0.127388535,0
../data/data_static_indoor_1.mat,157,0.03,10,0.021177687,1,0.388012618,0,1,0.133757962,0
,,,,,,,,,,
filename,times,threshold,segLen,maxDiffAB,correctBitRate,randomBitRate,noiseBitRate,correctWholeRate,randomWholeRate,noiseWholeRate
