		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 2.425781	M = 1250	N = 8	m = 9	n = 10000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
100100000    2    1    3    0    3    5    2    2  6.671567 0.572447 SUCCESS  76
100101000    2    4    1    3    4    2    1    4  5.165563 0.739743 SUCCESS  77
100110000    2    3    3    1    3    2    1    4  3.345118 0.910872 SUCCESS  78
100111000    1    1    1    6    1    4    0    1 13.261576 0.103161 SUCCESS  79
101000000    1    1    2    0    3    1    6    2 10.782461 0.214332 SUCCESS  80
101000100    1    4    5    4    2    0    0    4 11.881348 0.156577 SUCCESS  81
101001000    4    1    2    1    3    3    5    3  6.075785 0.638743 SUCCESS  82
101001100    3    1    4    4    4    2    3    1  5.228451 0.732903 SUCCESS  83
101010000    4    2    2    1    1    2    3    3  3.282230 0.915418 SUCCESS  84
101010100    3    3    4    3    0    1    1    3  5.824233 0.666913 SUCCESS  85
101011000    1    8    4    0    0    2    0    3 22.770916 0.003671 FAILURE  86
101011100    1    4    2    3    3    2    2    0  4.914011 0.766726 SUCCESS  87
101100000    2    2    5    2    1    1    1    4  6.671567 0.572447 SUCCESS  88
101100100    0    1    4    3    3    3    0    2  7.393125 0.494871 SUCCESS  89
101101000    1    3    2    2    1    1    6    1  9.150681 0.329745 SUCCESS  90
101101100    2    3    2    4    1    4    2    3  3.470895 0.901437 SUCCESS  91
101110000    2    3    1    2    4    1    3    2  3.282230 0.915418 SUCCESS  92
101110100    4    3    2    2    2    3    0    2  4.129564 0.845248 SUCCESS  93
101111000    3    3    1    2    1    1    3    1  3.940900 0.862416 SUCCESS  94
101111100    5    3    0    0    3    1    2    3  9.150681 0.329745 SUCCESS  95
110000000    2    0    2    0    2    3    2    3  5.572680 0.694975 SUCCESS  96
110000010    3    3    0    4    1    4    1    1  7.456013 0.488323 SUCCESS  97
110000100    3    3    3    0    5    1    3    1  7.581789 0.475349 SUCCESS  98
110001000    2    3    1    2    1    2    3    1  3.093566 0.928349 SUCCESS  99
110001010    1    7    4    1    0    5    2    3 17.154017 0.028545 SUCCESS 100
110010000    3    1    1    0    4    7    4    0 17.812687 0.022675 SUCCESS 101
110010010    3    0    4    1    3    1    3    4  6.734455 0.565535 SUCCESS 102
110010100    2    4    3    5    3    0    2    2  6.860231 0.551785 SUCCESS 103
110011000    1    4    4    0    1    8    0    2 22.049358 0.004825 FAILURE 104
110011010    5    0    4    3    3    2    2    1  7.644677 0.468925 SUCCESS 105
110100000    2    1    2    1    1    0    6    2 10.719573 0.218100 SUCCESS 106
110100010    3    4    4    4    2    1    3    1  5.228451 0.732903 SUCCESS 107
110100100    3    2    3    0    4    4    4    6 11.411342 0.179463 SUCCESS 108
110101000    1    2    6    0    2    1    4    4 11.881348 0.156577 SUCCESS 109
110101010    3    5    4    3    1    2    1    3  6.075785 0.638743 SUCCESS 110
110101100    1    1    0    1    1    1    1    4  8.710465 0.367306 SUCCESS 111
110110000    4    2    2    3    2    3    3    2  1.776226 0.987120 SUCCESS 112
110110010    1    1    2    5    2    3    1    4  6.734455 0.565535 SUCCESS 113
110110100    2    3    1    1    2    2    3    1  3.093566 0.928349 SUCCESS 114
110111000    3    3    2    5    3    2    2    2  3.533783 0.896552 SUCCESS 115
110111010    3    3    2    2    1    3    1    3  2.434896 0.964698 SUCCESS 116
110111100    4    2    0    2    5    3    3    0  9.276457 0.319514 SUCCESS 117
111000000    3    1    2    2    2    8    2    2 14.549126 0.068529 SUCCESS 118
111000010    3    3    1    2    3    1    3    2  2.434896 0.964698 SUCCESS 119
111000100    3    3    2    1    1    3    4    0  5.761345 0.673945 SUCCESS 120
111000110    3    0    1    3    5    2    3    2  6.734455 0.565535 SUCCESS 121
111001000    4    0    1    0    5    6    1    1 16.839577 0.031824 SUCCESS 122
111001010    3    4    4    5    3    0    2    1  8.617787 0.375557 SUCCESS 123
111001100    2    3    2    2    1    9    0    1 22.896692 0.003499 FAILURE 124
111010000    2    3    3    4    1    2    1    4  4.255341 0.833382 SUCCESS 125
111010010    2    1    2    1    2    2    3    6  7.581789 0.475349 SUCCESS 126
111010100    1    3    4    1    3    3    3    7 12.195788 0.142680 SUCCESS 127
111010110    0    0    1    0    2    0    3    6 16.462248 0.036222 SUCCESS 128
111011000    4    0    2    2    1    3    3    6 10.249568 0.247945 SUCCESS 129
111011010    2    3    2    4    1    2    4    1  4.192453 0.839356 SUCCESS 130
111011100    3    3    4    5    5    2    1    2  7.959118 0.437474 SUCCESS 131
111100000    4    1    2    3    2    8    3    1 16.369571 0.037386 SUCCESS 132
111100010    3    7    2    5    0    2    6    0 22.363798 0.004285 FAILURE 133
111100100    3    1    0    0    5    5    1    4 13.513128 0.095372 SUCCESS 134
111100110    4    0    1    4    3    5    1    1 10.123792 0.256445 SUCCESS 135
111101000    2    2    4    5    2    0    1    5 10.249568 0.247945 SUCCESS 136
111101010    1    4    2    2    3    3    4    5  6.201561 0.624665 SUCCESS 137
111101100    3    1    2    3    0    0    1    3  7.204461 0.514742 SUCCESS 138
111101110    4    0    2    5    0    4    1    3 10.971126 0.203341 SUCCESS 139
111110000    4    3    3    4    3    4    4    1  5.480003 0.705254 SUCCESS 140
111110010    2    2    1    1    4    1    1    4  5.698457 0.680967 SUCCESS 141
111110100    1    1    4    5    1    0    3    2  9.150681 0.329745 SUCCESS 142
111110110    1    2    1    3    3    1    4    2  4.066676 0.851058 SUCCESS 143
111111000    4    2    2    5    2    2    4    1  6.075785 0.638743 SUCCESS 144
111111010    2    2    1    6    1    1    7    4 18.064239 0.020750 SUCCESS 145
111111100    6    1    2    3    4    3    2    4  8.806452 0.358886 SUCCESS 146
111111110    4    3    2    6    6    2    4    4 14.267785 0.075047 SUCCESS 147

		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 2.425781	M = 1250	N = 8	m = 9	n = 10000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001    3    0    1    5    3    1    0    4 10.845349 0.210617 SUCCESS   0
000000011    5    1    1    2    2    5    0    3 10.123792 0.256445 SUCCESS   1
000000101    0    2    2    5    1    2    2    3  6.608679 0.579380 SUCCESS   2
000000111    8    0    5    2    2    6    0    2 26.600469 0.000828 FAILURE   3
000001001    5    3    1    2    3    2    0    2  6.671567 0.572447 SUCCESS   4
000001011    2    4    2    2    2    3    3    2  1.713338 0.988575 SUCCESS   5
000001101    3    3    1    2    3    1    1    3  3.219342 0.919848 SUCCESS   6
000001111    3    1    6    2    0    7    1    1 19.570243 0.012090 SUCCESS   7
000010001    1    1    2    1    3    6    3    3  8.492011 0.386941 SUCCESS   8
000010011    2    3    2    3    3    2    1    2  1.587562 0.991157 SUCCESS   9
000010101    1    5    2    3    2    3    3    4  5.291339 0.726032 SUCCESS  10
000010111    1    4    3    1    3    4    3    4  5.291339 0.726032 SUCCESS  11
000011001    0    3    3    3    2    0    2    0  8.051795 0.428427 SUCCESS  12
000011011    2    2    0    3    1    3    2    4  4.914011 0.766726 SUCCESS  13
000011101    3    4    1    2    2    1    2    1  4.003788 0.856782 SUCCESS  14
000011111    3    0    2    3    1    7    3    1 13.576016 0.093508 SUCCESS  15
000100011    3    0    2    3    3    7    6    1 18.127127 0.020293 SUCCESS  16
000100101    5    2    1    3    4    1    3    2  6.012897 0.645787 SUCCESS  17
000100111    2    1    1    2    3    1    0    2  5.446904 0.708915 SUCCESS  18
000101001    0    2    1    4    1    0    3    3  8.114683 0.422349 SUCCESS  19
000101011    3    4    4    1    3    3    4    1  5.291339 0.726032 SUCCESS  20
000101101    5    5    4    2    2    3    1    3  7.959118 0.437474 SUCCESS  21
000101111    2    2    5    4    1    4    2    3  6.138673 0.631702 SUCCESS  22
000110011    0    7    4    3    2    2    5    1 16.369571 0.037386 SUCCESS  23
000110101    3    1    2    4    1    2    0    2  5.635568 0.687978 SUCCESS  24
000110111    3    1    0    4    2    5    3    2  7.644677 0.468925 SUCCESS  25
000111001    1    2    3    0    3    2    4    3  4.976899 0.760042 SUCCESS  26
000111011    3    4    2    2    2    3    1    3  2.560672 0.958842 SUCCESS  27
000111101    1    0    3    1    3    1    2    1  6.294238 0.614310 SUCCESS  28
000111111    2    0    2    2    2    6    3    1  9.213569 0.324601 SUCCESS  29
001000011    1    3    3    3    3    2    4    3  2.686448 0.952469 SUCCESS  30
001000101    4    3    3    3    5    4    3    4  6.516002 0.589633 SUCCESS  31
001000111    2    1    1    1    5    8    5    5 24.247131 0.002083 FAILURE  32
001001011    4    3    2    2    3    2    5    1  5.228451 0.732903 SUCCESS  33
001001101    2    2    1    1    2    1    2    2  2.967790 0.936363 SUCCESS  34
001001111    0    2    2    2    5    3    1    2  6.608679 0.579380 SUCCESS  35
001010011    0    3    1    1    3    0    2    1  7.926019 0.440730 SUCCESS  36
001010101    1    4    1    1    2    1    4    4  6.671567 0.572447 SUCCESS  37
001010111    1    4    2    2    2    4    2    1  4.129564 0.845248 SUCCESS  38
001011011    5    4    5    4    3    3    1    3  8.995116 0.342708 SUCCESS  39
001011101    4    3    1    2    2    2    0    1  5.635568 0.687978 SUCCESS  40
001011111    0    0    1    2    0    6    2    3 14.046022 0.080574 SUCCESS  41
001100101    2    1    2    3    0    1    1    1  6.231350 0.621335 SUCCESS  42
001100111    1    5    5    2    3    0    7    3 18.190015 0.019846 SUCCESS  43
001101011    2    0    2    4    1    1    1    3  6.420015 0.600293 SUCCESS  44
001101101    5    1    0    2    1    2    3    1  8.177571 0.416320 SUCCESS  45
001101111    1    1    3    2    2    2    3    1  3.093566 0.928349 SUCCESS  46
001110101    2    1    1    4    5    1    2    0  9.087793 0.334944 SUCCESS  47
001110111    4    3    3    2    2    3    4    7 11.537118 0.173082 SUCCESS  48
001111011    1    3    3    0    3    1    3    0  7.267349 0.508082 SUCCESS  49
001111101    2    4    4    2    6    3    4    1  9.716674 0.285477 SUCCESS  50
001111111    2    4    3    2    2    3    3    1  2.560672 0.958842 SUCCESS  51
010000011    0    4    2    1    1    2    0    0 10.405133 0.237734 SUCCESS  52
010000111    1    2    3    6    3    2    2    1  7.644677 0.468925 SUCCESS  53
010001011    3    1    4    2    3    3    1    3  3.408006 0.906211 SUCCESS  54
010001111    2    1    0    1    5    3    2    3  7.456013 0.488323 SUCCESS  55
010010011    2    3    1    4    1    1    2    5  6.734455 0.565535 SUCCESS  56
010010111    4    2    1    1    3    4    2    2  4.192453 0.839356 SUCCESS  57
010011011    2    1    2    1    2    2    4    0  5.572680 0.694975 SUCCESS  58
010011111    1    4    4    2    5    2    1    2  6.860231 0.551785 SUCCESS  59
010100011    1    2    1    1    6    1    3    2  9.150681 0.329745 SUCCESS  60
010100111    4    3    1    2    4    1    1    2  4.976899 0.760042 SUCCESS  61
010101011    1    3    2    1    1    2    4    4  4.976899 0.760042 SUCCESS  62
010101111    1    3    3    2    0    1    3    4  5.761345 0.673945 SUCCESS  63
010110011    2    0    3    1    4    0    1    1  8.836241 0.356298 SUCCESS  64
010110111    5    2    3    3    4    4    1    5  8.932228 0.348045 SUCCESS  65
