		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 2.425781	M = 1250	N = 8	m = 9	n = 10000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
100100000    2    5    2    0    1    1    2    2  7.330237 0.501457 SUCCESS  76
100101000    2    1    3    2    3    1    4    2  3.282230 0.915418 SUCCESS  77
100110000    4    4    1    2    3    0    1    4  7.581789 0.475349 SUCCESS  78
100111000    0    2    3    2    2    3    2    0  5.572680 0.694975 SUCCESS  79
101000000    2    2    2    2    5    3    1    2  4.192453 0.839356 SUCCESS  80
101000100    1    1    2    1    0    0    2    1  8.584688 0.378532 SUCCESS  81
101001000    1    3    4    0    2    3    3    1  5.761345 0.673945 SUCCESS  82
101001100    3    4    2    2    2    1    4    3  3.470895 0.901437 SUCCESS  83
101010000    2    0    0    4    3    0    2    2  8.899129 0.350877 SUCCESS  84
101010100    2    1    0    4    4    1    3    2  6.608679 0.579380 SUCCESS  85
101011000    2    1    2    3    4    5    3    2  5.228451 0.732903 SUCCESS  86
101011100    5    2    4    3    2    1    2    4  6.138673 0.631702 SUCCESS  87
101100000    4    1    2    3    7    3    2    4 12.258676 0.140030 SUCCESS  88
101100100    2    3    4    1    2    5    3    2  5.228451 0.732903 SUCCESS  89
101101000    2    1    2    2    1    1    2    2  2.967790 0.936363 SUCCESS  90
101101100    3    3    2    2    4    6    2    3  7.111783 0.524622 SUCCESS  91
101110000    1    3    1    0    3    4    4    1  7.456013 0.488323 SUCCESS  92
101110100    1    3    1    3    1    1    0    1  7.078684 0.528168 SUCCESS  93
101111000    6    2    6    2    1    3    3    6 17.531345 0.025028 SUCCESS  94
101111100    2    3    2    4    4    3    1    2  3.470895 0.901437 SUCCESS  95
110000000    5    2    2    4    4    1    2    5  8.806452 0.358886 SUCCESS  96
110000010    3    3    2    2    1    4    2    3  2.560672 0.958842 SUCCESS  97
110000100    1    2    1    3    3    1    1    1  4.662458 0.792968 SUCCESS  98
110001000    2    3    2    1    0    3    2    2  3.940900 0.862416 SUCCESS  99
110001010    2    0    4    0    3    2    2    1  7.267349 0.508082 SUCCESS 100
110010000    4    5    3    0    1    0    1    4 11.755572 0.162447 SUCCESS 101
110010010    1    1    1    2    3    3    2    1  3.878012 0.867958 SUCCESS 102
110010100    0    0    6    0    3    2    5    0 18.408469 0.018364 SUCCESS 103
110011000    3    4    3    2    1    1    1    3  4.129564 0.845248 SUCCESS 104
110011010    4    2    2    1    0    4    4    4  7.707565 0.462545 SUCCESS 105
110100000    2    3    1    3    4    3    3    2  2.623560 0.955720 SUCCESS 106
110100010    2    1    2    4    3    1    4    2  4.192453 0.839356 SUCCESS 107
110100100    2    3    1    1    0    2    2    2  4.662458 0.792968 SUCCESS 108
110101000    3    3    3    4    2    2    3    3  1.902002 0.983870 SUCCESS 109
110101010    1    2    1    3    6    1    3    1  9.213569 0.324601 SUCCESS 110
110101100    3    1    2    2    5    4    2    3  5.228451 0.732903 SUCCESS 111
110110000    4    1    1    6    6    2    4    4 15.773789 0.045735 SUCCESS 112
110110010    2    4    3    1    1    4    3    2  4.255341 0.833382 SUCCESS 113
110110100    4    3    2    2    2    2    2    4  2.623560 0.955720 SUCCESS 114
110111000    0    2    1    1    3    4    4    0  9.024905 0.340199 SUCCESS 115
110111010    2    1    1    4    0    3    1    2  6.420015 0.600293 SUCCESS 116
110111100    3    3    4    1    2    1    3    3  3.408006 0.906211 SUCCESS 117
111000000    0    0    5    4    1    1    2    0 13.135800 0.107262 SUCCESS 118
111000010    2    3    1    3    4    3    2    2  2.560672 0.958842 SUCCESS 119
111000100    2    4    2    2    0    6    1    2 10.123792 0.256445 SUCCESS 120
111000110    1    2    4    0    3    4    0    1  9.024905 0.340199 SUCCESS 121
111001000    2    4    2    1    1    2    0    2  5.572680 0.694975 SUCCESS 122
111001010    3    0    8    1    2    2    2    3 17.028241 0.029816 SUCCESS 123
111001100    2    4    4    2    2    2    3    2  2.623560 0.955720 SUCCESS 124
111010000    2    3    0    5    3    3    2    2  5.950009 0.652832 SUCCESS 125
111010010    5    2    0    2    0    1    1    5 12.477130 0.131151 SUCCESS 126
111010100    3    4    1    3    0    2    1    3  5.761345 0.673945 SUCCESS 127
111010110    2    0    1    3    4    5    3    2  7.644677 0.468925 SUCCESS 128
111011000    3    4    2    5    4    1    5    4  9.842450 0.276259 SUCCESS 129
111011010    4    2    3    2    5    2    4    4  6.327337 0.610616 SUCCESS 130
111011100    0    2    3    0    3    2    0    0 10.405133 0.237734 SUCCESS 131
111100000    2    0    6    5    1    3    2    2 11.944236 0.153709 SUCCESS 132
111100010    2    0    5    1    1    2    2    2  7.330237 0.501457 SUCCESS 133
111100100    2    2    1    2    5    2    1    2  4.914011 0.766726 SUCCESS 134
111100110    2    5    4    3    1    4    3    2  6.201561 0.624665 SUCCESS 135
111101000    4    5    1    5    1    2    6    4 14.926455 0.060591 SUCCESS 136
111101010    1    3    1    2    1    4    2    1  4.788234 0.779952 SUCCESS 137
111101100    1    5    2    3    2    1    5    1  8.492011 0.386941 SUCCESS 138
111101110    1    2    4    3    3    2    1    1  4.066676 0.851058 SUCCESS 139
111110000    3    2    3    6    3    2    1    3  6.986007 0.538143 SUCCESS 140
111110010    2    1    3    1    5    4    2    2  5.950009 0.652832 SUCCESS 141
111110100    4    5    1    4    1    2    1    4  8.617787 0.375557 SUCCESS 142
111110110    2    2    3    0    3    2    6    2  8.492011 0.386941 SUCCESS 143
111111000    2    2    4    3    4    3    3    2  2.749337 0.949090 SUCCESS 144
111111010    4    4    1    4    0    2    2    4  7.707565 0.462545 SUCCESS 145
111111100    2    4    0    3    8    2    2    2 17.154017 0.028545 SUCCESS 146
111111110    1    4    3    2    6    3    4    1  9.590898 0.294921 SUCCESS 147

		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 2.425781	M = 1250	N = 8	m = 9	n = 10000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001    3    2    1    5    3    0    5    2  9.402234 0.309508 SUCCESS   0
000000011    5    1    2    4    0    0    5    4 13.638904 0.091676 SUCCESS   1
000000101    1    5    6    6    3    2    3    1 15.710901 0.046710 SUCCESS   2
000000111    6    3    1    4    1    0    8    2 24.058466 0.002241 FAILURE   3
000001001    3    1    2    1    4    4    2    2  4.192453 0.839356 SUCCESS   4
000001011    2    4    5    5    4    0    4    1 12.195788 0.142680 SUCCESS   5
000001101    1    2    3    2    1    3    3    2  2.372008 0.967432 SUCCESS   6
000001111    5    2    1    3    2    1    5    2  7.707565 0.462545 SUCCESS   7
000010001    2    5    2    2    3    1    4    1  5.950009 0.652832 SUCCESS   8
000010011    1    0    5    1    5    4    4    2 12.007124 0.150886 SUCCESS   9
000010101    2    2    3    2    4    2    0    2  4.066676 0.851058 SUCCESS  10
000010111    2    3    3    4    0    0    4    1  8.303347 0.404413 SUCCESS  11
000011001    1    2    3    4    0    2    2    2  4.851122 0.773363 SUCCESS  12
000011011    5    0    2    3    1    4    5    3 10.375344 0.239663 SUCCESS  13
000011101    4    3    1    3    2    1    1    1  4.851122 0.773363 SUCCESS  14
000011111    4    0    3    3    4    1    2    0  8.303347 0.404413 SUCCESS  15
000100011    3    3    2    2    1    0    5    1  7.456013 0.488323 SUCCESS  16
000100101    3    3    3    3    1    1    3    2  2.497784 0.961834 SUCCESS  17
000100111    1    2    0    0    4    3    4    1  9.024905 0.340199 SUCCESS  18
000101001    2    4    2    6    4    6    2    3 13.294675 0.102105 SUCCESS  19
000101011    1    1    1    1    1    2    2    1  5.321128 0.722767 SUCCESS  20
000101101    1    2    4    3    3    1    2    1  4.066676 0.851058 SUCCESS  21
000101111    1    2    4    5    0    1    3    3  8.429123 0.392713 SUCCESS  22
000110011    3    3    3    4    2    3    3    1  2.686448 0.952469 SUCCESS  23
000110101    1    3    4    3    1    1    2    2  4.066676 0.851058 SUCCESS  24
000110111    2    0    3    3    0    3    5    4  9.339345 0.314483 SUCCESS  25
000111001    3    7    2    3    2    1    2    5 13.043122 0.110374 SUCCESS  26
000111011    2    1    0    1    0    4    2    2  7.988907 0.434555 SUCCESS  27
000111101    4    4    3    2    1    5    1    1  7.707565 0.462545 SUCCESS  28
000111111    2    0    4    1    5    2    3    0  9.998015 0.265165 SUCCESS  29
001000011    4    1    2    1    2    1    3    5  6.734455 0.565535 SUCCESS  30
001000101    2    3    1    2    4    3    2    0  4.914011 0.766726 SUCCESS  31
001000111    3    4    2    4    4    1    2    3  4.444005 0.815009 SUCCESS  32
001001011    3    0    1    3    2    1    1    4  6.482903 0.593305 SUCCESS  33
001001101    4    3    8    3    2    8    2    5 30.618686 0.000164 FAILURE  34
001001111    1    4    1    1    3    2    4    2  4.976899 0.760042 SUCCESS  35
001010011    3    2    1    2    4    5    2    3  5.228451 0.732903 SUCCESS  36
001010101    1    6    3    4    3    1    2    5 11.348454 0.182726 SUCCESS  37
001010111    1    4    2    0    1    1    1    1  7.926019 0.440730 SUCCESS  38
001011011    2    2    3    3    6    2    0    4  9.465122 0.304589 SUCCESS  39
001011101    2    1    1    2    1    1    2    1  4.536682 0.805752 SUCCESS  40
001011111    2    4    1    3    1    1    2    1  4.788234 0.779952 SUCCESS  41
001100101    0    5    2    4    2    1    1    2  8.303347 0.404413 SUCCESS  42
001100111    5    3    5    3    4    4    2    1  8.932228 0.348045 SUCCESS  43
001101011    2    3    4    1    3    4    3    5  6.264449 0.617636 SUCCESS  44
001101101    4    1    1    2    0    3    4    2  6.608679 0.579380 SUCCESS  45
001101111    4    0    3    3    0    4    3    6 12.917346 0.114725 SUCCESS  46
001110101    5    2    3    5    4    1    2    1  8.680676 0.369946 SUCCESS  47
001110111    3    3    1    1    2    2    1    4  4.066676 0.851058 SUCCESS  48
001111011    5    5    2    2    1    2    3    0  9.339345 0.314483 SUCCESS  49
001111101    2    2    2    2    4    5    3    2  4.381117 0.821206 SUCCESS  50
001111111    4    1    4    2    5    1    6    2 12.195788 0.142680 SUCCESS  51
010000011    2    1    1    2    1    4    0    2  6.357126 0.607295 SUCCESS  52
010000111    4    2    3    2    2    4    1    4  4.381117 0.821206 SUCCESS  53
010001011    2    2    4    1    2    3    3    0  4.914011 0.766726 SUCCESS  54
010001111    0    3    3    1    1    3    2    4  5.761345 0.673945 SUCCESS  55
010010011    2    3    2    3    0    4    1    1  5.698457 0.680967 SUCCESS  56
010010111    3    0    1    4    2    1    1    2  6.420015 0.600293 SUCCESS  57
010011011    3    1    4    2    1    7    1    2 12.791570 0.119225 SUCCESS  58
010011111    2    2    1    1    4    5    7    3 14.737791 0.064449 SUCCESS  59
010100011    4    3    3    1    1    2    1    3  4.129564 0.845248 SUCCESS  60
010100111    1    1    1    0    7    4    2    7 23.932690 0.002352 FAILURE  61
010101011    2    7    2    6    3    1    2    3 15.648013 0.047704 SUCCESS  62
010101111    1    5    4    2    1    0    2    2  8.303347 0.404413 SUCCESS  63
010110011    1    3    1    1    5    4    0    0 11.566907 0.171598 SUCCESS  64
010110111    2    2    5    5    5    3    2    3  8.932228 0.348045 SUCCESS  65
010111011    3    2    3    3    3    1    0    2  4.066676 0.851058 SUCCESS  66
010111111    3    8    1    6    1    3    1    1 22.300910 0.004388 FAILURE  67
011000111    2    3    4    0    4    3    1    2  5.887121 0.659874 SUCCESS  68
011001111    4    3    4    0    5    4    2    1  9.528010 0.299727 SUCCESS  69
011010111    3    5    3    3    2    3    3    4  4.632669 0.796018 SUCCESS  70
011011111    3    1    4    4    2    3    2    3  3.533783 0.896552 SUCCESS  71
011101111    6    5    2    2    1    1    2    6 15.585125 0.048718 SUCCESS  72
011111111    4    3    2    6    3    4    4    2  8.995116 0.342708 SUCCESS  73
100000000    3    2    1    5    3    0    5    2  9.402234 0.309508 SUCCESS  74
100010000    1    3    1    0    4    2    2    0  8.051795 0.428427 SUCCESS  75
100100000    5    2    0    1    1    2    2    2  7.330237 0.501457 SUCCESS  76
100101000    1    3    2    3    1    4    1    1  4.851122 0.773363 SUCCESS  77
100110000    3    1    2    3    0    1    0    3  7.204461 0.514742 SUCCESS  78
100111000    2    3    2    2    3    2    2    2  0.740228 0.999417 SUCCESS  79
101000000    2    2    1    5    3    1    6    2 10.312456 0.243777 SUCCESS  80
101000100    1    2    1    0    0    2    1    2  7.800242 0.453223 SUCCESS  81
101001000    3    4    0    2    4    2    0    5 10.186680 0.252167 SUCCESS  82
101001100    4    2    2    2    2    3    0    1  4.851122 0.773363 SUCCESS  83
101010000    0    0    4    4    0    2    3    3  9.935127 0.269609 SUCCESS  84
101010100    1    0    4    4    1    3    3    4  7.644677 0.468925 SUCCESS  85
101011000    1    2    3    4    5    3    3    4  6.264449 0.617636 SUCCESS  86
101011100    2    4    3    2    1    1    2    2  3.219342 0.919848 SUCCESS  87
101100000    1    2    3    7    3    2    6    2 15.648013 0.047704 SUCCESS  88
101100100    3    4    2    2    5    3    2    5  7.174672 0.517910 SUCCESS  89
101101000    1    2    2    1    1    3    1    1  4.599570 0.799391 SUCCESS  90
101101100    3    2    2    4    6    2    1    4  8.743564 0.364388 SUCCESS  91
101110000    3    1    0    3    4    4    3    4  6.923119 0.544950 SUCCESS  92
101110100    3    1    3    1    1    0    2    4  6.482903 0.593305 SUCCESS  93
101111000    3    5    2    1    3    3    3    4  5.354227 0.719131 SUCCESS  94
101111100    3    2    4    4    3    1    2    6  8.806452 0.358886 SUCCESS  95
110000000    2    2    4    4    1    2    3    3  3.470895 0.901437 SUCCESS  96
110000010    3    2    2    1    4    2    3    4  3.470895 0.901437 SUCCESS  97
110000100    2    1    3    3    1    1    2    2  3.093566 0.928349 SUCCESS  98
110001000    3    2    1    0    3    2    4    0  7.330237 0.501457 SUCCESS  99
110001010    0    4    0    3    2    1    3    5 10.060903 0.260777 SUCCESS 100
110010000    5    3    0    1    0    1    3    4 10.845349 0.210617 SUCCESS 101
110010010    1    1    2    4    3    3    1    1  4.851122 0.773363 SUCCESS 102
110010100    0    6    0    3    2    4    1    2 12.602906 0.126262 SUCCESS 103
110011000    3    3    2    1    1    1    2    2  3.093566 0.928349 SUCCESS 104
110011010    2    3    0    0    4    4    0    3  9.935127 0.269609 SUCCESS 105
110100000    3    1    2    4    3    4    2    2  3.470895 0.901437 SUCCESS 106
110100010    1    2    4    3    1    4    0    2  6.608679 0.579380 SUCCESS 107
110100100    3    1    1    0    3    1    0    3  7.988907 0.434555 SUCCESS 108
110101000    3    3    4    2    2    3    4    2  2.749337 0.949090 SUCCESS 109
110101010    2    1    3    6    1    3    3    2  7.707565 0.462545 SUCCESS 110
110101100    1    2    2    5    4    2    1    4  6.860231 0.551785 SUCCESS 111
110110000    1    1    6    6    2    4    3    1 14.674903 0.065784 SUCCESS 112
110110010    4    3    2    1    4    3    2    3  3.533783 0.896552 SUCCESS 113
110110100    3    2    2    2    2    3    3    2  0.803116 0.999213 SUCCESS 114
110111000    2    1    1    3    4    4    1    3  5.039787 0.753315 SUCCESS 115
110111010    1    1    4    0    3    1    0    3  8.899129 0.350877 SUCCESS 116
110111100    4    4    0    2    1    3    4    6 12.132900 0.145372 SUCCESS 117
111000000    0    5    4    1    1    2    4    1 10.060903 0.260777 SUCCESS 118
111000010    3    1    3    4    3    2    3    2  2.623560 0.955720 SUCCESS 119
111000100    4    2    2    0    6    1    4    0 13.513128 0.095372 SUCCESS 120
111000110    2    4    0    3    4    0    3    2  7.518901 0.481816 SUCCESS 121
111001000    4    2    1    1    2    0    4    3  6.608679 0.579380 SUCCESS 122
111001010    0    8    1    2    1    3    3    3 17.875575 0.022179 SUCCESS 123
111001100    3    4    2    2    2    3    3    2  1.776226 0.987120 SUCCESS 124
111010000    3    0    4    3    3    2    3    4  5.228451 0.732903 SUCCESS 125
111010010    2    0    2    0    2    0    0    1 11.063803 0.198110 SUCCESS 126
111010100    4    1    3    0    2    1    3    1  6.482903 0.593305 SUCCESS 127
111010110    0    1    3    4    5    3    2    1  8.429123 0.392713 SUCCESS 128
111011000    3    2    5    4    1    5    2    1  8.680676 0.369946 SUCCESS 129
111011010    2    3    2    5    2    4    0    4  7.770453 0.456208 SUCCESS 130
