filename,times,segLen,correctBitRate,randomBitRate,noiseBitRate,correctWholeRate,randomWholeRate,noiseWholeRate
../data/data_static_indoor_1_r.mat,148,8,1480 / 1480 = 1.0,1096 / 1480 = 0.7405405405,706 / 1480 = 0.477027027,148 / 148 = 1.0,48 / 148 = 0.3243243243,5 / 148 = 0.0337837838
../data/data_static_indoor_1_r.mat,148,9,1480 / 1480 = 1.0,1070 / 1480 = 0.722972973,728 / 1480 = 0.4918918919,148 / 148 = 1.0,37 / 148 = 0.25,5 / 148 = 0.0337837838
# [6] adaptive lossy,,,,,,,,
../data/data_static_indoor_1_r.mat,148,2,38079 / 38079 = 1.0,23573 / 38079 = 0.6190551222,20421 / 38079 = 0.5362798393,148 / 148 = 1.0,51 / 148 = 0.3445945946,1 / 148 = 0.0067567568
../data/data_static_indoor_1_r.mat,148,3,38011 / 38011 = 1.0,22283 / 38011 = 0.5862250401,19966 / 38011 = 0.5252690011,148 / 148 = 1.0,5 / 148 = 0.0337837838,0 / 148 = 0.0
../data/data_static_indoor_1_r.mat,148,4,14485 / 14485 = 1.0,9770 / 14485 = 0.6744908526,6783 / 14485 = 0.4682775285,148 / 148 = 1.0,7 / 148 = 0.0472972973,0 / 148 = 0.0
../data/data_static_indoor_1_r.mat,148,5,14488 / 14492 = 0.9997239856,9578 / 14492 = 0.6609163677,7248 / 14492 = 0.5001380072,147 / 148 = 0.9932432432,1 / 148 = 0.0067567568,0 / 148 = 0.0
../data/data_static_indoor_1_r.mat,148,6,14492 / 14492 = 1.0,9474 / 14492 = 0.6537399945,7372 / 14492 = 0.5086944521,148 / 148 = 1.0,4 / 148 = 0.027027027,0 / 148 = 0.0
../data/data_static_indoor_1_r.mat,148,7,14433 / 14441 = 0.9994460217,8881 / 14441 = 0.6149851118,7849 / 14441 = 0.5435219168,146 / 148 = 0.9864864865,0 / 148 = 0.0,0 / 148 = 0.0
../data/data_static_indoor_1_r.mat,148,8,5030 / 5032 = 0.9996025437,3670 / 5032 = 0.7293322734,2202 / 5032 = 0.4375993641,147 / 148 = 0.9932432432,1 / 148 = 0.0067567568,1 / 148 = 0.0067567568
../data/data_static_indoor_1_r.mat,148,9,5029 / 5029 = 1.0,3167 / 5029 = 0.6297474647,2787 / 5029 = 0.5541857228,148 / 148 = 1.0,2 / 148 = 0.0135135135,0 / 148 = 0.0
../data/data_static_indoor_1_r.mat,148,10,5021 / 5025 = 0.9992039801,3143 / 5025 = 0.6254726368,2763 / 5025 = 0.5498507463,147 / 148 = 0.9932432432,0 / 148 = 0.0,0 / 148 = 0.0
../data/data_static_indoor_1_r.mat,148,11,5030 / 5030 = 1.0,3480 / 5030 = 0.6918489066,2410 / 5030 = 0.4791252485,148 / 148 = 1.0,0 / 148 = 0.0,0 / 148 = 0.0
../data/data_static_indoor_1_r.mat,148,12,5026 / 5030 = 0.9992047714,3078 / 5030 = 0.6119284294,2806 / 5030 = 0.5578528827,147 / 148 = 0.9932432432,0 / 148 = 0.0,0 / 148 = 0.0
../data/data_static_indoor_1_r.mat,148,13,5032 / 5032 = 1.0,3424 / 5032 = 0.680445151,2448 / 5032 = 0.4864864865,148 / 148 = 1.0,0 / 148 = 0.0,0 / 148 = 0.0
../data/data_static_indoor_1_r.mat,148,14,5032 / 5032 = 1.0,3528 / 5032 = 0.7011128776,2480 / 5032 = 0.492845787,148 / 148 = 1.0,0 / 148 = 0.0,0 / 148 = 0.0
../data/data_static_indoor_1_r.mat,148,15,1480 / 1480 = 1.0,1142 / 1480 = 0.7716216216,654 / 1480 = 0.4418918919,148 / 148 = 1.0,0 / 148 = 0.0,0 / 148 = 0.0
# [6] adaptive lossy denoise,,,,,,,,
../data/data_static_indoor_1_r_m.mat,148,2,38141 / 38141 = 1.0,23599 / 38141 = 0.6187305,20651 / 38141 = 0.5414383472,148 / 148 = 1.0,46 / 148 = 0.3108108108,4 / 148 = 0.027027027
../data/data_static_indoor_1_r_m.mat,148,3,38128 / 38134 = 0.9998426601,22642 / 38134 = 0.593748361,19946 / 38134 = 0.5230502963,147 / 148 = 0.9932432432,4 / 148 = 0.027027027,0 / 148 = 0.0
../data/data_static_indoor_1_r_m.mat,148,4,14500 / 14500 = 1.0,9690 / 14500 = 0.6682758621,6980 / 14500 = 0.4813793103,148 / 148 = 1.0,3 / 148 = 0.0202702703,0 / 148 = 0.0
../data/data_static_indoor_1_r_m.mat,148,5,14488 / 14488 = 1.0,9674 / 14488 = 0.6677250138,7292 / 14488 = 0.5033130867,148 / 148 = 1.0,0 / 148 = 0.0,0 / 148 = 0.0
../data/data_static_indoor_1_r_m.mat,148,6,14496 / 14496 = 1.0,9394 / 14496 = 0.6480408389,7484 / 14496 = 0.5162803532,148 / 148 = 1.0,5 / 148 = 0.0337837838,0 / 148 = 0.0
../data/data_static_indoor_1_r_m.mat,148,7,14472 / 14472 = 1.0,8748 / 14472 = 0.6044776119,7990 / 14472 = 0.5521006081,148 / 148 = 1.0,0 / 148 = 0.0,0 / 148 = 0.0
../data/data_static_indoor_1_r_m.mat,148,8,5026 / 5030 = 0.9992047714,3758 / 5030 = 0.7471172962,2104 / 5030 = 0.4182902584,147 / 148 = 0.9932432432,3 / 148 = 0.0202702703,0 / 148 = 0.0
../data/data_static_indoor_1_r_m.mat,148,9,5029 / 5029 = 1.0,3309 / 5029 = 0.6579836946,2787 / 5029 = 0.5541857228,148 / 148 = 1.0,3 / 148 = 0.0202702703,0 / 148 = 0.0
../data/data_static_indoor_1_r_m.mat,148,10,5017 / 5023 = 0.9988054947,3125 / 5023 = 0.6221381644,2855 / 5023 = 0.568385427,147 / 148 = 0.9932432432,0 / 148 = 0.0,0 / 148 = 0.0
../data/data_static_indoor_1_r_m.mat,148,11,5032 / 5032 = 1.0,3508 / 5032 = 0.6971383148,2410 / 5032 = 0.4789348172,148 / 148 = 1.0,0 / 148 = 0.0,0 / 148 = 0.0
../data/data_static_indoor_1_r_m.mat,148,12,5021 / 5023 = 0.9996018316,3067 / 5023 = 0.6105912801,2813 / 5023 = 0.5600238901,147 / 148 = 0.9932432432,0 / 148 = 0.0,0 / 148 = 0.0
../data/data_static_indoor_1_r_m.mat,148,13,5032 / 5032 = 1.0,3458 / 5032 = 0.6872019078,2474 / 5032 = 0.4916534181,148 / 148 = 1.0,0 / 148 = 0.0,0 / 148 = 0.0
../data/data_static_indoor_1_r_m.mat,148,14,5032 / 5032 = 1.0,3532 / 5032 = 0.7019077901,2476 / 5032 = 0.4920508744,148 / 148 = 1.0,0 / 148 = 0.0,0 / 148 = 0.0
../data/data_static_indoor_1_r_m.mat,148,15,1480 / 1480 = 1.0,1124 / 1480 = 0.7594594595,640 / 1480 = 0.4324324324,148 / 148 = 1.0,0 / 148 = 0.0,0 / 148 = 0.0
interval length=2,,,,,,,,
../data/data_static_indoor_1_r.mat,148,4,37815 / 37815 = 1.0,23134 / 37815 = 0.611767817,20890 / 37815 = 0.5524262859,148 / 148 = 1.0,2 / 148 = 0.0135135135,0 / 148 = 0.0
../data/data_static_indoor_1_r.mat,148,5,37807 / 37813 = 0.9998413244,22172 / 37813 = 0.5863591886,20439 / 37813 = 0.5405283897,147 / 148 = 0.9932432432,0 / 148 = 0.0,0 / 148 = 0.0
../data/data_static_indoor_1_r.mat,148,6,37758 / 37772 = 0.9996293551,21492 / 37772 = 0.5689929048,20466 / 37772 = 0.5418299269,146 / 148 = 0.9864864865,0 / 148 = 0.0,0 / 148 = 0.0
../data/data_static_indoor_1_r.mat,148,7,37695 / 37699 = 0.9998938964,21783 / 37699 = 0.5778137351,20534 / 37699 = 0.5446828828,147 / 148 = 0.9932432432,0 / 148 = 0.0,0 / 148 = 0.0
../data/data_static_indoor_1_r.mat,148,8,14450 / 14450 = 1.0,9040 / 14450 = 0.6256055363,8215 / 14450 = 0.5685121107,148 / 148 = 1.0,0 / 148 = 0.0,0 / 148 = 0.0
../data/data_static_indoor_1_r.mat,148,9,14425 / 14425 = 1.0,8511 / 14425 = 0.590017331,7872 / 14425 = 0.5457192374,148 / 148 = 1.0,0 / 148 = 0.0,0 / 148 = 0.0
../data/data_static_indoor_1_r.mat,148,10,14409 / 14425 = 0.9988908146,8616 / 14425 = 0.5972963605,7941 / 14425 = 0.5505025997,145 / 148 = 0.9797297297,0 / 148 = 0.0,0 / 148 = 0.0
../data/data_static_indoor_1_r.mat,148,11,14380 / 14392 = 0.9991662034,8408 / 14392 = 0.5842134519,7954 / 14392 = 0.552668149,146 / 148 = 0.9864864865,0 / 148 = 0.0,0 / 148 = 0.0
../data/data_static_indoor_1_r.mat,148,12,14378 / 14382 = 0.9997218746,8439 / 14382 = 0.5867751356,8100 / 14382 = 0.563204005,147 / 148 = 0.9932432432,0 / 148 = 0.0,0 / 148 = 0.0
../data/data_static_indoor_1_r.mat,148,13,14386 / 14404 = 0.9987503471,8654 / 14404 = 0.6008053319,8038 / 14404 = 0.5580394335,145 / 148 = 0.9797297297,0 / 148 = 0.0,0 / 148 = 0.0
../data/data_static_indoor_1_r.mat,148,14,14400 / 14412 = 0.9991673605,8490 / 14412 = 0.589092423,8082 / 14412 = 0.5607826811,146 / 148 = 0.9864864865,0 / 148 = 0.0,0 / 148 = 0.0
../data/data_static_indoor_1_r.mat,148,15,5029 / 5029 = 1.0,3455 / 5029 = 0.6870153112,2595 / 5029 = 0.5160071585,148 / 148 = 1.0,0 / 148 = 0.0,0 / 148 = 0.0
interval length=2 denoise,,,,,,,,
../data/data_static_indoor_1_r_m.mat,148,4,68311 / 68311 = 1.0,41422 / 68311 = 0.6063737905,38619 / 68311 = 0.5653408675,148 / 148 = 1.0,4 / 148 = 0.027027027,0 / 148 = 0.0
../data/data_static_indoor_1_r_m.mat,148,5,68365 / 68369 = 0.999941494,40214 / 68369 = 0.5881905542,37818 / 68369 = 0.5531454314,147 / 148 = 0.9932432432,0 / 148 = 0.0,0 / 148 = 0.0
../data/data_static_indoor_1_r_m.mat,148,6,68185 / 68185 = 1.0,39616 / 68185 = 0.581007553,37510 / 68185 = 0.5501209944,148 / 148 = 1.0,0 / 148 = 0.0,0 / 148 = 0.0
../data/data_static_indoor_1_r_m.mat,148,7,68139 / 68143 = 0.9999412999,39665 / 68143 = 0.5820847336,38438 / 68143 = 0.564078482,147 / 148 = 0.9932432432,0 / 148 = 0.0,0 / 148 = 0.0
../data/data_static_indoor_1_r_m.mat,148,8,25712 / 25712 = 1.0,16316 / 25712 = 0.6345675171,14930 / 25712 = 0.5806627256,148 / 148 = 1.0,0 / 148 = 0.0,0 / 148 = 0.0
../data/data_static_indoor_1_r_m.mat,148,9,25641 / 25641 = 1.0,15942 / 25641 = 0.6217386217,14725 / 25641 = 0.5742755743,148 / 148 = 1.0,0 / 148 = 0.0,0 / 148 = 0.0
../data/data_static_indoor_1_r_m.mat,148,10,25587 / 25593 = 0.9997655609,15593 / 25593 = 0.6092681593,14375 / 25593 = 0.5616770211,147 / 148 = 0.9932432432,0 / 148 = 0.0,0 / 148 = 0.0
../data/data_static_indoor_1_r_m.mat,148,11,25640 / 25640 = 1.0,15492 / 25640 = 0.6042121685,14482 / 25640 = 0.5648205928,148 / 148 = 1.0,0 / 148 = 0.0,0 / 148 = 0.0
../data/data_static_indoor_1_r_m.mat,148,12,25622 / 25642 = 0.9992200296,15490 / 25642 = 0.6040870447,14789 / 25642 = 0.5767490835,146 / 148 = 0.9864864865,0 / 148 = 0.0,0 / 148 = 0.0
../data/data_static_indoor_1_r_m.mat,148,13,25636 / 25640 = 0.9998439938,15500 / 25640 = 0.604524181,14658 / 25640 = 0.5716848674,147 / 148 = 0.9932432432,0 / 148 = 0.0,0 / 148 = 0.0
../data/data_static_indoor_1_r_m.mat,148,14,25624 / 25632 = 0.9996878901,15746 / 25632 = 0.6143102372,14792 / 25632 = 0.5770911361,147 / 148 = 0.9932432432,0 / 148 = 0.0,0 / 148 = 0.0
../data/data_static_indoor_1_r_m.mat,148,15,8880 / 8880 = 1.0,6218 / 8880 = 0.7002252252,4924 / 8880 = 0.5545045045,148 / 148 = 1.0,0 / 148 = 0.0,0 / 148 = 0.0
interval length=2 denoise min_diffs=1.4,,,,,,,,
../data/data_static_indoor_1_r_m.mat,148,4,68524 / 68524 = 1.0,42005 / 68524 = 0.6129969062,39092 / 68524 = 0.570486253,148 / 148 = 1.0,2 / 148 = 0.0135135135,0 / 148 = 0.0
../data/data_static_indoor_1_r_m.mat,148,5,68506 / 68506 = 1.0,40570 / 68506 = 0.5922109012,37764 / 68506 = 0.5512509853,148 / 148 = 1.0,0 / 148 = 0.0,0 / 148 = 0.0
../data/data_static_indoor_1_r_m.mat,148,6,68453 / 68453 = 1.0,40115 / 68453 = 0.5860225264,37827 / 68453 = 0.552598133,148 / 148 = 1.0,0 / 148 = 0.0,0 / 148 = 0.0
../data/data_static_indoor_1_r_m.mat,148,7,68403 / 68409 = 0.9999122922,40026 / 68409 = 0.585098452,38397 / 68409 = 0.5612857957,147 / 148 = 0.9932432432,0 / 148 = 0.0,0 / 148 = 0.0
../data/data_static_indoor_1_r_m.mat,148,8,25722 / 25722 = 1.0,16622 / 25722 = 0.6462172459,14988 / 25722 = 0.5826918591,148 / 148 = 1.0,0 / 148 = 0.0,0 / 148 = 0.0
../data/data_static_indoor_1_r_m.mat,148,9,25728 / 25728 = 1.0,16186 / 25728 = 0.6291200249,14720 / 25728 = 0.5721393035,148 / 148 = 1.0,0 / 148 = 0.0,0 / 148 = 0.0
../data/data_static_indoor_1_r_m.mat,148,10,25720 / 25720 = 1.0,16066 / 25720 = 0.6246500778,14604 / 25720 = 0.567807154,148 / 148 = 1.0,0 / 148 = 0.0,0 / 148 = 0.0
../data/data_static_indoor_1_r_m.mat,148,11,25680 / 25680 = 1.0,15652 / 25680 = 0.6095015576,14728 / 25680 = 0.5735202492,148 / 148 = 1.0,0 / 148 = 0.0,0 / 148 = 0.0
../data/data_static_indoor_1_r_m.mat,148,12,25684 / 25696 = 0.9995330012,15410 / 25696 = 0.5997042341,14602 / 25696 = 0.5682596513,147 / 148 = 0.9932432432,0 / 148 = 0.0,0 / 148 = 0.0
../data/data_static_indoor_1_r_m.mat,148,13,25688 / 25688 = 1.0,16062 / 25688 = 0.6252725008,14874 / 25688 = 0.5790252258,148 / 148 = 1.0,0 / 148 = 0.0,0 / 148 = 0.0
../data/data_static_indoor_1_r_m.mat,148,14,25668 / 25682 = 0.9994548711,15536 / 25682 = 0.6049373102,14626 / 25682 = 0.5695039327,146 / 148 = 0.9864864865,0 / 148 = 0.0,0 / 148 = 0.0
../data/data_static_indoor_1_r_m.mat,148,15,8874 / 8874 = 1.0,6302 / 8874 = 0.7101645256,4846 / 8874 = 0.5460897002,148 / 148 = 1.0,0 / 148 = 0.0,0 / 148 = 0.0
interval length=2 mobile denoise min_diffs=1.4,,,,,,,,
../data/data_mobile_indoor_1_r.mat,28,4,12942 / 12942 = 1.0,7874 / 12942 = 0.6084067378,7448 / 12942 = 0.5754906506,28 / 28 = 1.0,0 / 28 = 0.0,0 / 28 = 0.0
../data/data_mobile_indoor_1_r.mat,28,5,12946 / 12952 = 0.9995367511,7674 / 12952 = 0.5924953675,7064 / 12952 = 0.5453983941,27 / 28 = 0.9642857143,0 / 28 = 0.0,0 / 28 = 0.0
../data/data_mobile_indoor_1_r.mat,28,6,12904 / 12916 = 0.9990709198,7683 / 12916 = 0.5948436048,7230 / 12916 = 0.5597708269,27 / 28 = 0.9642857143,0 / 28 = 0.0,0 / 28 = 0.0
../data/data_mobile_indoor_1_r.mat,28,7,12962 / 12982 = 0.9984594053,7568 / 12982 = 0.582961023,7220 / 12982 = 0.5561546757,26 / 28 = 0.9285714286,0 / 28 = 0.0,0 / 28 = 0.0
../data/data_mobile_indoor_1_r.mat,28,8,4872 / 4872 = 1.0,3144 / 4872 = 0.645320197,2904 / 4872 = 0.5960591133,28 / 28 = 1.0,0 / 28 = 0.0,0 / 28 = 0.0
../data/data_mobile_indoor_1_r.mat,28,9,4864 / 4864 = 1.0,2946 / 4864 = 0.6056743421,2876 / 4864 = 0.5912828947,28 / 28 = 1.0,0 / 28 = 0.0,0 / 28 = 0.0
../data/data_mobile_indoor_1_r.mat,28,10,4850 / 4856 = 0.9987644152,3046 / 4856 = 0.6272652389,2724 / 4856 = 0.5609555189,27 / 28 = 0.9642857143,0 / 28 = 0.0,0 / 28 = 0.0
../data/data_mobile_indoor_1_r.mat,28,11,4864 / 4864 = 1.0,2904 / 4864 = 0.5970394737,2738 / 4864 = 0.5629111842,28 / 28 = 1.0,0 / 28 = 0.0,0 / 28 = 0.0
../data/data_mobile_indoor_1_r.mat,28,12,4850 / 4850 = 1.0,2936 / 4850 = 0.6053608247,2852 / 4850 = 0.5880412371,28 / 28 = 1.0,0 / 28 = 0.0,0 / 28 = 0.0
../data/data_mobile_indoor_1_r.mat,28,13,4856 / 4856 = 1.0,2902 / 4856 = 0.5976112026,2840 / 4856 = 0.5848434926,28 / 28 = 1.0,0 / 28 = 0.0,0 / 28 = 0.0
../data/data_mobile_indoor_1_r.mat,28,14,4865 / 4865 = 1.0,2885 / 4865 = 0.5930113052,2889 / 4865 = 0.5938335046,28 / 28 = 1.0,0 / 28 = 0.0,0 / 28 = 0.0
../data/data_mobile_indoor_1_r.mat,28,15,1680 / 1680 = 1.0,1178 / 1680 = 0.7011904762,866 / 1680 = 0.5154761905,28 / 28 = 1.0,0 / 28 = 0.0,0 / 28 = 0.0
interval length=2 mobile denoise min_diffs=1 ,,,,,,,,
../data/data_mobile_indoor_1_r.mat,28,4,12942 / 12942 = 1.0,7888 / 12942 = 0.6094884871,7416 / 12942 = 0.5730180807,28 / 28 = 1.0,0 / 28 = 0.0,0 / 28 = 0.0
../data/data_mobile_indoor_1_r.mat,28,5,12952 / 12952 = 1.0,7536 / 12952 = 0.5818406424,6976 / 12952 = 0.5386040766,28 / 28 = 1.0,0 / 28 = 0.0,0 / 28 = 0.0
../data/data_mobile_indoor_1_r.mat,28,6,12912 / 12912 = 1.0,7498 / 12912 = 0.5807001239,7248 / 12912 = 0.56133829,28 / 28 = 1.0,0 / 28 = 0.0,0 / 28 = 0.0
../data/data_mobile_indoor_1_r.mat,28,7,12941 / 12941 = 1.0,7572 / 12941 = 0.5851170698,7277 / 12941 = 0.5623213044,28 / 28 = 1.0,0 / 28 = 0.0,0 / 28 = 0.0
../data/data_mobile_indoor_1_r.mat,28,8,4864 / 4864 = 1.0,3026 / 4864 = 0.6221217105,2856 / 4864 = 0.5871710526,28 / 28 = 1.0,0 / 28 = 0.0,0 / 28 = 0.0
../data/data_mobile_indoor_1_r.mat,28,9,4865 / 4865 = 1.0,3027 / 4865 = 0.6221993834,2835 / 4865 = 0.5827338129,28 / 28 = 1.0,0 / 28 = 0.0,0 / 28 = 0.0
../data/data_mobile_indoor_1_r.mat,28,10,4856 / 4856 = 1.0,2868 / 4856 = 0.5906095552,2780 / 4856 = 0.5724876442,28 / 28 = 1.0,0 / 28 = 0.0,0 / 28 = 0.0
../data/data_mobile_indoor_1_r.mat,28,11,4856 / 4856 = 1.0,2802 / 4856 = 0.5770181219,2760 / 4856 = 0.568369028,28 / 28 = 1.0,0 / 28 = 0.0,0 / 28 = 0.0
../data/data_mobile_indoor_1_r.mat,28,12,4848 / 4848 = 1.0,2996 / 4848 = 0.6179867987,2750 / 4848 = 0.5672442244,28 / 28 = 1.0,0 / 28 = 0.0,0 / 28 = 0.0
../data/data_mobile_indoor_1_r.mat,28,13,4872 / 4872 = 1.0,2848 / 4872 = 0.5845648604,2740 / 4872 = 0.5623973727,28 / 28 = 1.0,0 / 28 = 0.0,0 / 28 = 0.0
../data/data_mobile_indoor_1_r.mat,28,14,4852 / 4864 = 0.9975328947,2872 / 4864 = 0.5904605263,2860 / 4864 = 0.5879934211,27 / 28 = 0.9642857143,0 / 28 = 0.0,0 / 28 = 0.0
../data/data_mobile_indoor_1_r.mat,28,15,1680 / 1680 = 1.0,1188 / 1680 = 0.7071428571,860 / 1680 = 0.5119047619,28 / 28 = 1.0,2 / 28 = 0.0714285714,0 / 28 = 0.0
../data/data_mobile_indoor_1_r.mat,28,3,30986 / 31024 = 0.9987751418,17202 / 31024 = 0.5544739556,16738 / 31024 = 0.5395177927,24 / 28 = 0.8571428571,0 / 28 = 0.0,0 / 28 = 0.0
../data/data_mobile_indoor_1_r.mat,28,2,30775 / 30783 = 0.9997401163,17453 / 30783 = 0.5669687815,16917 / 30783 = 0.5495565734,27 / 28 = 0.9642857143,0 / 28 = 0.0,0 / 28 = 0.0
../data/data_mobile_indoor_1_r.mat,28,3,31275 / 31351 = 0.9975758349,17281 / 31351 = 0.5512104877,16602 / 31351 = 0.5295524864,21 / 28 = 0.75,0 / 28 = 0.0,0 / 28 = 0.0
../data/data_mobile_indoor_1_r.mat,28,2,30622 / 30626 = 0.999869392,17523 / 30626 = 0.572160909,16574 / 30626 = 0.5411741657,27 / 28 = 0.9642857143,0 / 28 = 0.0,0 / 28 = 0.0
../data/data_mobile_indoor_1_r.mat,28,15,1674 / 1674 = 1.0,1152 / 1674 = 0.688172043,886 / 1674 = 0.5292712067,28 / 28 = 1.0,1 / 28 = 0.0357142857,0 / 28 = 0.0
../data/data_mobile_indoor_1_r.mat,28,14,4832 / 4832 = 1.0,2980 / 4832 = 0.6167218543,2772 / 4832 = 0.5736754967,28 / 28 = 1.0,0 / 28 = 0.0,0 / 28 = 0.0
../data/data_mobile_indoor_1_r.mat,28,13,4832 / 4832 = 1.0,2962 / 4832 = 0.6129966887,2826 / 4832 = 0.5848509934,28 / 28 = 1.0,0 / 28 = 0.0,0 / 28 = 0.0
../data/data_mobile_indoor_1_r.mat,28,12,4864 / 4864 = 1.0,2932 / 4864 = 0.6027960526,2740 / 4864 = 0.5633223684,28 / 28 = 1.0,0 / 28 = 0.0,0 / 28 = 0.0
../data/data_mobile_indoor_1_r.mat,28,11,4832 / 4832 = 1.0,2906 / 4832 = 0.6014072848,2758 / 4832 = 0.5707781457,28 / 28 = 1.0,0 / 28 = 0.0,0 / 28 = 0.0
../data/data_mobile_indoor_1_r.mat,28,10,4856 / 4856 = 1.0,2980 / 4856 = 0.6136738056,2704 / 4856 = 0.5568369028,28 / 28 = 1.0,0 / 28 = 0.0,0 / 28 = 0.0
../data/data_mobile_indoor_1_r.mat,28,9,4849 / 4849 = 1.0,3008 / 4849 = 0.6203340895,2745 / 4849 = 0.5660961023,28 / 28 = 1.0,0 / 28 = 0.0,0 / 28 = 0.0
../data/data_mobile_indoor_1_r.mat,28,8,4856 / 4856 = 1.0,3214 / 4856 = 0.6618616145,2892 / 4856 = 0.5955518946,28 / 28 = 1.0,0 / 28 = 0.0,0 / 28 = 0.0
../data/data_mobile_indoor_1_r.mat,28,7,12692 / 12716 = 0.998112614,7487 / 12716 = 0.5887857817,7028 / 12716 = 0.552689525,25 / 28 = 0.8928571429,0 / 28 = 0.0,0 / 28 = 0.0
../data/data_mobile_indoor_1_r.mat,28,6,12806 / 12818 = 0.9990638165,7443 / 12818 = 0.5806678109,6949 / 12818 = 0.5421282571,26 / 28 = 0.9285714286,0 / 28 = 0.0,0 / 28 = 0.0
../data/data_mobile_indoor_1_r.mat,28,5,12818 / 12828 = 0.9992204553,7505 / 12828 = 0.5850483318,6962 / 12828 = 0.5427190521,27 / 28 = 0.9642857143,0 / 28 = 0.0,0 / 28 = 0.0
../data/data_mobile_indoor_1_r.mat,28,4,12732 / 12754 = 0.998275051,7875 / 12754 = 0.617453348,7302 / 12754 = 0.5725262663,25 / 28 = 0.8928571429,0 / 28 = 0.0,0 / 28 = 0.0
../data/data_mobile_indoor_1_r.mat,28,15,1680 / 1680 = 1.0,1186 / 1680 = 0.705952381,788 / 1680 = 0.469047619,28 / 28 = 1.0,1 / 28 = 0.0357142857,0 / 28 = 0.0
../data/data_mobile_indoor_1_r.mat,28,14,4860 / 4872 = 0.9975369458,3558 / 4872 = 0.7302955665,2448 / 4872 = 0.5024630542,26 / 28 = 0.9285714286,0 / 28 = 0.0,0 / 28 = 0.0
../data/data_mobile_indoor_1_r.mat,28,13,4872 / 4872 = 1.0,3514 / 4872 = 0.7212643678,2464 / 4872 = 0.5057471264,28 / 28 = 1.0,1 / 28 = 0.0357142857,0 / 28 = 0.0
../data/data_mobile_indoor_1_r.mat,28,12,4866 / 4872 = 0.9987684729,3588 / 4872 = 0.736453202,2502 / 4872 = 0.513546798,27 / 28 = 0.9642857143,0 / 28 = 0.0,0 / 28 = 0.0
../data/data_mobile_indoor_1_r.mat,28,11,4872 / 4872 = 1.0,3362 / 4872 = 0.6900656814,2548 / 4872 = 0.5229885057,28 / 28 = 1.0,0 / 28 = 0.0,0 / 28 = 0.0
../data/data_mobile_indoor_1_r.mat,28,10,4872 / 4872 = 1.0,3478 / 4872 = 0.7138752053,2574 / 4872 = 0.5283251232,28 / 28 = 1.0,0 / 28 = 0.0,0 / 28 = 0.0
../data/data_mobile_indoor_1_r.mat,28,9,4872 / 4872 = 1.0,3464 / 4872 = 0.711001642,2518 / 4872 = 0.5168308703,28 / 28 = 1.0,0 / 28 = 0.0,0 / 28 = 0.0
../data/data_mobile_indoor_1_r.mat,28,8,4872 / 4872 = 1.0,3532 / 4872 = 0.7249589491,2302 / 4872 = 0.4724958949,28 / 28 = 1.0,0 / 28 = 0.0,0 / 28 = 0.0
../data/data_mobile_indoor_1_r.mat,28,7,12968 / 12992 = 0.9981527094,8470 / 12992 = 0.6519396552,6516 / 12992 = 0.5015394089,26 / 28 = 0.9285714286,0 / 28 = 0.0,0 / 28 = 0.0
../data/data_mobile_indoor_1_r.mat,28,6,12980 / 12992 = 0.9990763547,8280 / 12992 = 0.6373152709,6530 / 12992 = 0.5026169951,27 / 28 = 0.9642857143,0 / 28 = 0.0,0 / 28 = 0.0
../data/data_mobile_indoor_1_r.mat,28,5,12814 / 12992 = 0.9862992611,8014 / 12992 = 0.616841133,6572 / 12992 = 0.5058497537,22 / 28 = 0.7857142857,0 / 28 = 0.0,0 / 28 = 0.0
../data/data_mobile_indoor_1_r.mat,28,4,12946 / 12992 = 0.9964593596,8382 / 12992 = 0.6451662562,6278 / 12992 = 0.4832204433,22 / 28 = 0.7857142857,0 / 28 = 0.0,0 / 28 = 0.0
../data/data_static_indoor_1_r.mat,148,15,8880 / 8880 = 1.0,6736 / 8880 = 0.7585585586,4232 / 8880 = 0.4765765766,148 / 148 = 1.0,7 / 148 = 0.0472972973,0 / 148 = 0.0
../data/data_static_indoor_1_r.mat,148,14,25748 / 25752 = 0.9998446723,19224 / 25752 = 0.7465051258,12846 / 25752 = 0.4988350419,147 / 148 = 0.9932432432,2 / 148 = 0.0135135135,0 / 148 = 0.0
../data/data_static_indoor_1_r.mat,148,13,25726 / 25752 = 0.9989903697,19136 / 25752 = 0.7430879155,13008 / 25752 = 0.5051258155,146 / 148 = 0.9864864865,2 / 148 = 0.0135135135,0 / 148 = 0.0
../data/data_static_indoor_1_r.mat,148,12,25722 / 25752 = 0.9988350419,19592 / 25752 = 0.760795278,13274 / 25752 = 0.5154551103,145 / 148 = 0.9797297297,1 / 148 = 0.0067567568,0 / 148 = 0.0
../data/data_static_indoor_1_r.mat,148,11,25752 / 25752 = 1.0,18474 / 25752 = 0.7173811743,13152 / 25752 = 0.5107176142,148 / 148 = 1.0,1 / 148 = 0.0067567568,0 / 148 = 0.0
../data/data_static_indoor_1_r.mat,148,10,25752 / 25752 = 1.0,19258 / 25752 = 0.7478254116,13564 / 25752 = 0.5267163715,148 / 148 = 1.0,1 / 148 = 0.0067567568,0 / 148 = 0.0
../data/data_static_indoor_1_r.mat,148,9,25698 / 25752 = 0.9979030755,18484 / 25752 = 0.7177694936,13226 / 25752 = 0.5135911774,143 / 148 = 0.9662162162,0 / 148 = 0.0,0 / 148 = 0.0
