filename,times,segLen,correctBitRate,randomBitRate,noiseBitRate,correctWholeRate,randomWholeRate,noiseWholeRate
../data/data_static_indoor_1_r.mat,148,8,246 / 296 = 0.8310810811,148 / 296 = 0.5,144 / 296 = 0.4864864865,123 / 148 = 0.8310810811,74 / 148 = 0.5,72 / 148 = 0.4864864865
../data/data_static_indoor_1_r.mat,148,16,148 / 148 = 1.0,148 / 148 = 1.0,148 / 148 = 1.0,148 / 148 = 1.0,148 / 148 = 1.0,148 / 148 = 1.0
# (8) perm,,,,,,,,
../data/data_static_indoor_1_r.mat,148,1,2180 / 2368 = 0.9206081081,1158 / 2368 = 0.4890202703,1192 / 2368 = 0.5033783784,80 / 148 = 0.5405405405,0 / 148 = 0.0,1 / 148 = 0.0067567568
../data/data_static_indoor_1_r.mat,148,2,1076 / 1184 = 0.9087837838,606 / 1184 = 0.5118243243,600 / 1184 = 0.5067567568,104 / 148 = 0.7027027027,11 / 148 = 0.0743243243,9 / 148 = 0.0608108108
../data/data_static_indoor_1_r.mat,148,4,538 / 592 = 0.9087837838,304 / 592 = 0.5135135135,294 / 592 = 0.4966216216,123 / 148 = 0.8310810811,38 / 148 = 0.2567567568,42 / 148 = 0.2837837838
../data/data_static_indoor_1_r.mat,148,8,266 / 296 = 0.8986486486,142 / 296 = 0.4797297297,142 / 296 = 0.4797297297,133 / 148 = 0.8986486486,71 / 148 = 0.4797297297,71 / 148 = 0.4797297297
../data/data_static_indoor_1_r.mat,148,16,148 / 148 = 1.0,148 / 148 = 1.0,148 / 148 = 1.0,148 / 148 = 1.0,148 / 148 = 1.0,148 / 148 = 1.0
# (2),,,,,,,,
../data/data_static_indoor_1_r.mat,148,1,80496 / 80512 = 0.9998012719,43898 / 80512 = 0.5452354928,39965 / 80512 = 0.496385632,147 / 148 = 0.9932432432,0 / 148 = 0.0,0 / 148 = 0.0
../data/data_static_indoor_1_r.mat,148,2,33103 / 33104 = 0.9999697922,18860 / 33104 = 0.5697196713,16266 / 33104 = 0.4913605607,147 / 148 = 0.9932432432,0 / 148 = 0.0,0 / 148 = 0.0
../data/data_static_indoor_1_r.mat,148,4,10919 / 10924 = 0.9995422922,6363 / 10924 = 0.5824789454,5430 / 10924 = 0.4970706701,145 / 148 = 0.9797297297,0 / 148 = 0.0,0 / 148 = 0.0
../data/data_static_indoor_1_r.mat,148,8,2470 / 2470 = 1.0,1790 / 2470 = 0.7246963563,1154 / 2470 = 0.4672064777,148 / 148 = 1.0,10 / 148 = 0.0675675676,1 / 148 = 0.0067567568
../data/data_static_indoor_1_r.mat,148,16,680 / 680 = 1.0,531 / 680 = 0.7808823529,343 / 680 = 0.5044117647,148 / 148 = 1.0,64 / 148 = 0.4324324324,25 / 148 = 0.1689189189
# (4),,,,,,,,
../data/data_static_indoor_1_r.mat,148,1,53336 / 53870 = 0.9900872471,28859 / 54330 = 0.531179827,28501 / 54330 = 0.5245904657,96 / 148 = 0.6486486486,0 / 148 = 0.0,0 / 148 = 0.0
../data/data_static_indoor_1_r.mat,148,2,18656 / 18770 = 0.9939264784,10198 / 18770 = 0.5433137986,10110 / 18770 = 0.5386254662,123 / 148 = 0.8310810811,0 / 148 = 0.0,0 / 148 = 0.0
../data/data_static_indoor_1_r.mat,148,4,6578 / 6588 = 0.9984820886,4000 / 6588 = 0.6071645416,3822 / 6588 = 0.5801457195,138 / 148 = 0.9324324324,0 / 148 = 0.0,0 / 148 = 0.0
../data/data_static_indoor_1_r.mat,148,8,1866 / 1870 = 0.9978609626,1190 / 1870 = 0.6363636364,1134 / 1870 = 0.6064171123,145 / 148 = 0.9797297297,3 / 148 = 0.0202702703,1 / 148 = 0.0067567568
../data/data_static_indoor_1_r.mat,148,16,499 / 500 = 0.998,292 / 500 = 0.584,290 / 500 = 0.58,147 / 148 = 0.9932432432,38 / 148 = 0.2567567568,30 / 148 = 0.2027027027
# (6),,,,,,,,
