../data/data_static_indoor_1_r_m.mat,741,4,33249 / 33251 = 0.9999398514,18973 / 33251 = 0.5705993805,18900 / 33251 = 0.5684039578,740 / 741 = 0.9986504723,1 / 741 = 0.0013495277,3 / 741 = 0.004048583
../data/data_static_indoor_1_r_m.mat,741,5,34755 / 34755 = 1.0,19758 / 34755 = 0.5684937419,19753 / 34755 = 0.5683498777,741 / 741 = 1.0,1 / 741 = 0.0013495277,0 / 741 = 0.0
../data/data_static_indoor_1_r_m.mat,741,6,37166 / 37176 = 0.9997310093,20724 / 37176 = 0.5574564235,20889 / 37176 = 0.5618947708,737 / 741 = 0.9946018893,1 / 741 = 0.0013495277,1 / 741 = 0.0013495277
../data/data_static_indoor_1_r_m.mat,741,7,34205 / 34240 = 0.9989778037,19438 / 34240 = 0.5676985981,19583 / 34240 = 0.5719334112,735 / 741 = 0.991902834,1 / 741 = 0.0013495277,1 / 741 = 0.0013495277
../data/data_static_indoor_1_r_m.mat,741,8,19682 / 19684 = 0.9998983946,10532 / 19684 = 0.5350538508,10536 / 19684 = 0.5352570616,740 / 741 = 0.9986504723,1 / 741 = 0.0013495277,5 / 741 = 0.0067476383
../data/data_static_indoor_1_r_m.mat,741,9,18990 / 18992 = 0.9998946925,10194 / 18992 = 0.5367523168,10307 / 18992 = 0.5427021904,740 / 741 = 0.9986504723,4 / 741 = 0.0053981107,3 / 741 = 0.004048583
../data/data_static_indoor_1_r_m.mat,741,10,16565 / 16567 = 0.9998792781,9222 / 16567 = 0.5566487596,9180 / 16567 = 0.5541135993,740 / 741 = 0.9986504723,18 / 741 = 0.024291498,19 / 741 = 0.0256410256
../data/data_static_indoor_1_r_m.mat,741,11,20120 / 20131 = 0.9994535791,10772 / 20131 = 0.5350951269,10678 / 20131 = 0.5304257116,740 / 741 = 0.9986504723,2 / 741 = 0.0026990553,3 / 741 = 0.004048583
../data/data_static_indoor_1_r_m.mat,741,12,16895 / 16899 = 0.9997632996,9314 / 16899 = 0.5511568732,9540 / 16899 = 0.5645304456,740 / 741 = 0.9986504723,10 / 741 = 0.0134952767,19 / 741 = 0.0256410256
../data/data_static_indoor_1_r_m.mat,741,13,20053 / 20069 = 0.9992027505,10696 / 20069 = 0.5329612836,10695 / 20069 = 0.5329114555,736 / 741 = 0.9932523617,4 / 741 = 0.0053981107,1 / 741 = 0.0013495277
../data/data_static_indoor_1_r_m.mat,741,14,20452 / 20476 = 0.9988278961,10849 / 20476 = 0.5298398125,11035 / 20476 = 0.5389236179,735 / 741 = 0.991902834,4 / 741 = 0.0053981107,2 / 741 = 0.0026990553
../data/data_static_indoor_1_r_m.mat,741,15,6787 / 6791 = 0.9994109851,3555 / 6791 = 0.523486968,3580 / 6791 = 0.527168311,739 / 741 = 0.9973009447,65 / 741 = 0.0877192982,64 / 741 = 0.0863697706
,,,,,,,,
,,,,,,,,
../data/data_static_indoor_1_r_m.mat,741,4,32762 / 32768 = 0.9998168945,18707 / 32768 = 0.570892334,18720 / 32768 = 0.5712890625,738 / 741 = 0.995951417,2 / 741 = 0.0026990553,2 / 741 = 0.0026990553
../data/data_static_indoor_1_r_m.mat,741,5,34846 / 34873 = 0.9992257621,19781 / 34873 = 0.5672296619,19642 / 34873 = 0.5632437703,738 / 741 = 0.995951417,1 / 741 = 0.0013495277,1 / 741 = 0.0013495277
../data/data_static_indoor_1_r_m.mat,741,6,37002 / 37002 = 1.0,20719 / 37002 = 0.5599427058,20733 / 37002 = 0.5603210637,741 / 741 = 1.0,0 / 741 = 0.0,0 / 741 = 0.0
../data/data_static_indoor_1_r_m.mat,741,7,33695 / 33703 = 0.9997626324,19279 / 33703 = 0.5720262291,19216 / 33703 = 0.5701569593,738 / 741 = 0.995951417,1 / 741 = 0.0013495277,1 / 741 = 0.0013495277
../data/data_static_indoor_1_r_m.mat,741,8,19601 / 19607 = 0.9996939868,10326 / 19607 = 0.5266486459,10442 / 19607 = 0.5325649003,738 / 741 = 0.995951417,6 / 741 = 0.008097166,3 / 741 = 0.004048583
../data/data_static_indoor_1_r_m.mat,741,9,18782 / 18790 = 0.9995742416,10196 / 18790 = 0.542629058,10255 / 18790 = 0.5457690261,738 / 741 = 0.995951417,3 / 741 = 0.004048583,6 / 741 = 0.008097166
../data/data_static_indoor_1_r_m.mat,741,10,16494 / 16505 = 0.9993335353,9225 / 16505 = 0.5589215389,9097 / 16505 = 0.5511663132,738 / 741 = 0.995951417,12 / 741 = 0.016194332,16 / 741 = 0.0215924426
../data/data_static_indoor_1_r_m.mat,741,11,20011 / 20015 = 0.9998001499,10580 / 20015 = 0.5286035473,10574 / 20015 = 0.5283037722,739 / 741 = 0.9973009447,2 / 741 = 0.0026990553,4 / 741 = 0.0053981107
../data/data_static_indoor_1_r_m.mat,741,12,16937 / 16941 = 0.9997638864,9445 / 16941 = 0.5575231686,9461 / 16941 = 0.5584676229,740 / 741 = 0.9986504723,14 / 741 = 0.0188933873,19 / 741 = 0.0256410256
../data/data_static_indoor_1_r_m.mat,741,13,19879 / 19883 = 0.9997988231,10701 / 19883 = 0.538198461,10670 / 19883 = 0.5366393401,740 / 741 = 0.9986504723,8 / 741 = 0.0107962213,2 / 741 = 0.0026990553
../data/data_static_indoor_1_r_m.mat,741,14,20349 / 20363 = 0.9993124785,10836 / 20363 = 0.5321416294,10715 / 20363 = 0.5261994794,736 / 741 = 0.9932523617,2 / 741 = 0.0026990553,2 / 741 = 0.0026990553
../data/data_static_indoor_1_r_m.mat,741,15,6789 / 6791 = 0.9997054926,3579 / 6791 = 0.5270210573,3511 / 6791 = 0.5170078044,740 / 741 = 0.9986504723,62 / 741 = 0.0836707152,63 / 741 = 0.0850202429
,,,,,,,,
../data/data_static_indoor_1_r_m.mat,741,4,33471 / 33477 = 0.9998207725,19322 / 33477 = 0.577172387,19104 / 33477 = 0.5706604534,738 / 741 = 0.995951417,0 / 741 = 0.0,1 / 741 = 0.0013495277
../data/data_static_indoor_1_r_m.mat,741,5,35016 / 35018 = 0.9999428865,19855 / 35018 = 0.5669941173,19999 / 35018 = 0.5711062882,740 / 741 = 0.9986504723,1 / 741 = 0.0013495277,2 / 741 = 0.0026990553
../data/data_static_indoor_1_r_m.mat,741,6,37237 / 37241 = 0.9998925915,21053 / 37241 = 0.5653177949,21040 / 37241 = 0.5649687173,740 / 741 = 0.9986504723,1 / 741 = 0.0013495277,1 / 741 = 0.0013495277
../data/data_static_indoor_1_r_m.mat,741,7,32983 / 32993 = 0.9996969054,18882 / 32993 = 0.5723032158,18834 / 32993 = 0.5708483618,738 / 741 = 0.995951417,0 / 741 = 0.0,2 / 741 = 0.0026990553
../data/data_static_indoor_1_r_m.mat,741,8,19290 / 19296 = 0.9996890547,10514 / 19296 = 0.5448797678,10323 / 19296 = 0.5349813433,738 / 741 = 0.995951417,4 / 741 = 0.0053981107,2 / 741 = 0.0026990553
../data/data_static_indoor_1_r_m.mat,741,9,18219 / 18225 = 0.9996707819,10085 / 18225 = 0.5533607682,9782 / 18225 = 0.5367352538,739 / 741 = 0.9973009447,6 / 741 = 0.008097166,4 / 741 = 0.0053981107
../data/data_static_indoor_1_r_m.mat,741,10,15568 / 15568 = 1.0,8948 / 15568 = 0.5747687564,8855 / 15568 = 0.568794964,741 / 741 = 1.0,14 / 741 = 0.0188933873,23 / 741 = 0.0310391363
../data/data_static_indoor_1_r_m.mat,741,11,19490 / 19496 = 0.9996922446,10484 / 19496 = 0.5377513336,10475 / 19496 = 0.5372897005,739 / 741 = 0.9973009447,5 / 741 = 0.0067476383,3 / 741 = 0.004048583
../data/data_static_indoor_1_r_m.mat,741,12,15619 / 15619 = 1.0,8885 / 15619 = 0.5688584416,8966 / 15619 = 0.5740444331,741 / 741 = 1.0,19 / 741 = 0.0256410256,19 / 741 = 0.0256410256
