filename,times,gridSize,p,segLen,correctBitRate,randomBitRate,noiseBitRate,correctWholeRate,randomWholeRate,noiseWholeRate
../data/data_mobile_indoor_1.mat,30,0.05,5,2,0.9939778645833334,0.949072265625,0.82421875,0.03333333333333333,0.0,0.0
../data/data_mobile_indoor_1.mat,60,0.05,6,2,0.9958116319444444,0.9658528645833333,0.8841851128472222,0.03333333333333333,0.0,0.0
../data/data_mobile_indoor_1.mat,90,0.05,7,2,0.9973446800595238,0.9780901227678571,0.9253929501488095,0.03333333333333333,0.0,0.0
../data/data_mobile_indoor_1.mat,120,0.05,8,2,0.9983246527777778,0.9863411458333333,0.9537391493055556,0.03333333333333333,0.0,0.0
../data/data_mobile_indoor_1.mat,150,0.05,9,2,0.9989950856854839,0.991748046875,0.9719768565188172,0.03333333333333333,0.0,0.0
../data/data_mobile_indoor_1.mat,180,0.05,10,2,0.9994016617063493,0.9951218377976191,0.9834860181051587,0.03333333333333333,0.0,0.0
../data/data_mobile_indoor_1.mat,210,0.05,11,2,0.9996557681266404,0.9971791184793307,0.990431609867126,0.03333333333333333,0.0,0.0
../data/data_mobile_indoor_1.mat,240,0.05,12,2,0.9998029003267974,0.9983930759803922,0.9945613766339869,0.03333333333333333,0.0,0.0
../data/data_mobile_indoor_1.mat,270,0.05,13,2,0.9998898580194064,0.9990984474376223,0.9969439263290932,0.03333333333333333,0.0,0.0
../data/data_mobile_indoor_1.mat,300,0.05,14,2,0.9999385869786576,0.9994993088648583,0.9983056529254236,0.03333333333333333,0.0,0.0
../data/data_mobile_indoor_1.mat,330,0.05,15,2,0.9999663665577675,0.999724897525342,0.9990678447753827,0.03333333333333333,0.0,0.0
../data/data_mobile_indoor_1.mat,360,0.05,16,2,0.9999815895909646,0.9998499027014652,0.9994921159569597,0.03333333333333333,0.0,0.0
../data/data_mobile_indoor_1.mat,390,0.05,17,2,0.9999900607056017,0.999918742989638,0.9997247479131058,0.03333333333333333,0.0,0.0
../data/data_mobile_indoor_1.mat,420,0.05,18,2,0.9999946312806466,0.9999562296378105,0.9998519042144168,0.03333333333333333,0.0,0.0
../data/data_mobile_indoor_1.mat,450,0.05,19,2,0.9999971319356492,0.9999765612482643,0.9999206195885278,0.03333333333333333,0.0,0.0
../data/data_mobile_indoor_1.mat,480,0.1,5,2,0.9999970436096192,0.9999757662415505,0.9999163374304771,0.041666666666666664,0.0,0.0
../data/data_mobile_indoor_1.mat,510,0.1,6,2,0.9999969633286924,0.999974983470654,0.9999119668292582,0.049019607843137254,0.0,0.0
../data/data_mobile_indoor_1.mat,540,0.1,7,2,0.9999968753019416,0.9999741909475371,0.9999076937773654,0.05555555555555555,0.0,0.0
../data/data_mobile_indoor_1.mat,570,0.1,8,2,0.9999967956325753,0.9999734132830453,0.9999033421979224,0.06140350877192982,0.0,0.0
../data/data_mobile_indoor_1.mat,600,0.1,9,2,0.9999967088630912,0.9999726312587975,0.999899108689459,0.06666666666666667,0.0,0.0
../data/data_mobile_indoor_1.mat,630,0.1,10,2,0.9999966317567138,0.9999718751189841,0.999894839319823,0.07142857142857142,0.0,0.0
../data/data_mobile_indoor_1.mat,660,0.1,11,2,0.9999965502352253,0.9999711371659725,0.999890775756502,0.07575757575757576,0.0,0.0
../data/data_mobile_indoor_1.mat,690,0.1,12,2,0.9999964837598798,0.9999704707791082,0.9998868568168885,0.07971014492753623,0.0,0.0
../data/data_mobile_indoor_1.mat,720,0.1,13,2,0.9999964237509266,0.999969914413395,0.9998835082839075,0.08333333333333333,0.0,0.0
../data/data_mobile_indoor_1.mat,750,0.1,14,2,0.9999963999072088,0.9999696097063974,0.9998810297941637,0.08666666666666667,0.0,0.0
../data/data_mobile_indoor_1.mat,780,0.1,15,2,0.9999964225808343,0.9999697546320565,0.999880496340822,0.08974358974358974,0.0,0.0
../data/data_mobile_indoor_1.mat,810,0.1,16,2,0.9999965498076723,0.9999707378300317,0.9998832458272012,0.09259259259259259,0.0,0.0
../data/data_mobile_indoor_1.mat,840,0.1,17,2,0.9999968241094536,0.9999730275812265,0.9998914939827842,0.09523809523809523,0.0,0.0
../data/data_mobile_indoor_1.mat,870,0.1,18,2,0.9999972997997203,0.9999770002808155,0.9999066616199347,0.09770114942528736,0.0,0.0
../data/data_mobile_indoor_1.mat,900,0.1,19,2,0.9999979306622644,0.999982352512945,0.9999278545714343,0.1,0.0,0.0
../data/data_mobile_indoor_1.mat,930,0.15,5,2,0.9999979113220353,0.9999820987135531,0.9999259910118797,0.1086021505376344,0.0032258064516129032,0.0
../data/data_mobile_indoor_1.mat,960,0.15,6,2,0.9999978900277706,0.9999818375001113,0.9999241666642825,0.11666666666666667,0.00625,0.0
../data/data_mobile_indoor_1.mat,990,0.15,7,2,0.9999978707865115,0.9999815845631614,0.9999223068027074,0.12424242424242424,0.00909090909090909,0.0
../data/data_mobile_indoor_1.mat,1020,0.15,8,2,0.9999978496922786,0.9999813250988764,0.9999204900131168,0.13137254901960785,0.011764705882352941,0.0
../data/data_mobile_indoor_1.mat,1050,0.15,9,2,0.9999978308540824,0.9999810757037386,0.9999186456089219,0.1380952380952381,0.014285714285714285,0.0
../data/data_mobile_indoor_1.mat,1080,0.15,10,2,0.9999978105737813,0.9999808234152127,0.9999168603604205,0.14444444444444443,0.016666666666666666,0.0
../data/data_mobile_indoor_1.mat,1110,0.15,11,2,0.9999977933731908,0.9999805885255644,0.9999150803146718,0.15045045045045044,0.01891891891891892,0.0
