		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 2.425781	M = 1250	N = 8	m = 9	n = 10000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
100100000    0    1    1    3    1    0    1    3  8.710465 0.367306 SUCCESS  76
100101000    2    3    2    1    2    1    2    2  2.246232 0.972517 SUCCESS  77
100110000    1    2    1    1    3    2    2    1  3.815124 0.873406 SUCCESS  78
100111000    2    1    1    4    1    2    1    3  4.788234 0.779952 SUCCESS  79
101000000    2    3    3    2    3    3    2    3  0.928892 0.998659 SUCCESS  80
101000100    2    1    2    4    3    3    1    2  3.282230 0.915418 SUCCESS  81
101001000    3    3    3    3    3    2    3    3  1.054668 0.997879 SUCCESS  82
101001100    2    2    1    0    6    1    2    1 10.719573 0.218100 SUCCESS  83
101010000    4    4    2    1    2    3    4    1  5.165563 0.739743 SUCCESS  84
101010100    5    2    3    3    2    1    4    1  6.012897 0.645787 SUCCESS  85
101011000    2    2    0    3    5    1    2    3  6.671567 0.572447 SUCCESS  86
101011100    5    6    5    3    1    3    6    3 17.720010 0.023426 SUCCESS  87
101100000    1    3    2    3    2    3    2    3  1.650450 0.989919 SUCCESS  88
101100100    4    3    2    7    1    3    2    6 16.621123 0.034305 SUCCESS  89
101101000    3    4    6    3    3    1    6    1 14.016233 0.081343 SUCCESS  90
101101100    2    1    1    4    2    4    1    4  5.887121 0.659874 SUCCESS  91
101110000    2    4    5    0    0    1    4    1 11.692684 0.165451 SUCCESS  92
101110100    3    2    2    3    4    3    1    4  3.533783 0.896552 SUCCESS  93
101111000    0    0    0    2    6    2    0    2 15.614914 0.048235 SUCCESS  94
101111100    1    1    0    2    0    2    0    2  9.432023 0.307171 SUCCESS  95
110000000    2    3    1    2    2    1    2    2  2.246232 0.972517 SUCCESS  96
110000010    3    3    4    1    3    2    4    1  4.318229 0.827331 SUCCESS  97
110000100    2    1    3    3    2    4    1    5  6.012897 0.645787 SUCCESS  98
110001000    1    0    2    4    2    0    1    5 10.719573 0.218100 SUCCESS  99
110001010    2    1    2    2    4    0    2    2  4.788234 0.779952 SUCCESS 100
110010000    3    3    2    5    0    3    2    5  8.680676 0.369946 SUCCESS 101
110010010    2    2    2    4    0    0    3    3  6.545791 0.586333 SUCCESS 102
110010100    4    3    1    0    4    2    2    0  8.240459 0.410341 SUCCESS 103
110011000    1    2    1    0    2    2    2    0  7.015796 0.534929 SUCCESS 104
110011010    3    4    5    3    3    4    3    5  8.273558 0.407215 SUCCESS 105
110100000    2    2    3    4    1    2    3    3  2.560672 0.958842 SUCCESS 106
110100010    2    1    3    5    4    2    3    4  6.201561 0.624665 SUCCESS 107
110100100    1    2    3    1    3    0    3    1  5.572680 0.694975 SUCCESS 108
110101000    2    3    2    2    3    5    1    2  4.255341 0.833382 SUCCESS 109
110101010    6    3    4    2    2    4    4    1  9.716674 0.285477 SUCCESS 110
