		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 1.205078	M = 625	N = 8	m = 9	n = 5000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
100100000    2    0    2    0    1    1    1    1  3.674427 0.885239 SUCCESS  76
100101000    2    0    1    4    1    4    0    0 17.536284 0.024985 SUCCESS  77
100110000    1    1    1    3    2    0    2    5 17.341000 0.026748 SUCCESS  78
100111000    0    2    0    0    3    1    1    1  7.063764 0.529769 SUCCESS  79
101000000    1    3    1    1    3    0    1    0  8.063354 0.427306 SUCCESS  80
101000100    2    1    1    3    2    2    0    0  6.868480 0.550887 SUCCESS  81
101001000    3    0    2    1    1    0    1    4 12.452280 0.132136 SUCCESS  82
101001100    1    0    0    1    1    0    2    3  7.063764 0.529769 SUCCESS  83
101010000    1    2    0    0    1    4    0    2 11.452690 0.177344 SUCCESS  84
101010100    0    2    2    2    1    0    3    0  8.063354 0.427306 SUCCESS  85
101011000    2    0    0    0    2    0    0    1  7.259048 0.508959 SUCCESS  86
101011100    1    0    2    2    1    1    1    2  2.979349 0.935647 SUCCESS  87
101100000    1    1    1    1    1    2    0    0  3.174633 0.922925 SUCCESS  88
101100100    1    1    1    0    0    2    2    0  4.869301 0.771450 SUCCESS  89
101101000    3    0    2    0    1    1    0    0  8.258638 0.408622 SUCCESS  90
101101100    1    2    1    0    1    1    1    2  2.479554 0.962678 SUCCESS  91
101110000    3    2    1    1    1    0    4    0 12.452280 0.132136 SUCCESS  92
101110100    0    1    1    1    2    2    1    3  5.173812 0.738848 SUCCESS  93
101111000    3    1    2    1    1    0    3    1  7.368275 0.497469 SUCCESS  94
101111100    0    3    1    0    0    0    0    2  9.453511 0.305493 SUCCESS  95
110000000    1    0    0    0    1    0    1    1  5.064585 0.750651 SUCCESS  96
110000010    1    2    0    2    3    2    2    0  7.368275 0.497469 SUCCESS  97
110000100    1    2    1    2    1    1    4    0  9.062943 0.337014 SUCCESS  98
110001000    0    1    1    0    1    0    2    1  4.369506 0.822342 SUCCESS  99
110001010    1    0    0    0    2    1    1    0  5.564380 0.695897 SUCCESS 100
110010000    2    0    1    0    0    0    3    0  9.453511 0.305493 SUCCESS 101
110010010    0    2    1    0    1    0    2    0  6.064175 0.640043 SUCCESS 102
110010100    1    0    0    2    0    2    0    1  6.064175 0.640043 SUCCESS 103
110011000    0    1    2    1    2    1    2    3  5.673606 0.683739 SUCCESS 104
110011010    1    2    1    0    1    1    0    5 15.341821 0.052830 SUCCESS 105
110100000    1    3    1    1    2    1    0    0  5.868891 0.661915 SUCCESS 106
110100010    3    0    1    2    0    1    0    0  8.258638 0.408622 SUCCESS 107
110100100    4    1    2    2    1    1    1    4 14.451459 0.070731 SUCCESS 108
110101000    0    2    1    0    2    2    1    2  4.674017 0.791781 SUCCESS 109
110101010    1    3    2    1    1    0    2    1  5.173812 0.738848 SUCCESS 110
110101100    1    0    1    0    3    0    1    1  6.563969 0.584321 SUCCESS 111
110110000    1    2    2    1    1    2    1    0  2.979349 0.935647 SUCCESS 112
110110010    0    2    1    1    0    2    2    0  5.369096 0.717496 SUCCESS 113
110110100    2    0    2    1    1    0    0    1  4.869301 0.771450 SUCCESS 114
110111000    3    1    1    0    1    0    3    0  9.258227 0.320983 SUCCESS 115
110111010    0    1    3    1    0    2    2    4 12.952074 0.113509 SUCCESS 116
110111100    2    1    1    2    0    1    5    1 14.646743 0.066389 SUCCESS 117
