		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 2.425781	M = 1250	N = 8	m = 9	n = 10000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
100100000    6    4    5    2    2    2    3    2  9.716674 0.285477 SUCCESS  76
100101000    4    2    0    1    8    2    6    1 23.995578 0.002296 FAILURE  77
100110000    1    3    2    1    1    2    0    0  7.863131 0.446953 SUCCESS  78
100111000    0    1    3    4    1    2    3    7 14.486238 0.069940 SUCCESS  79
101000000    1    2    2    1    2    3    5    1  5.761345 0.673945 SUCCESS  80
101000100    3    3    1    1    2    7    1    3 11.944236 0.153709 SUCCESS  81
101001000    4    2    3    4    3    4    1    3  4.506893 0.808743 SUCCESS  82
101001100    2    1    3    1    1    1    4    2  4.788234 0.779952 SUCCESS  83
101010000    4    2    2    3    2    2    0    2  4.066676 0.851058 SUCCESS  84
101010100    3    5    2    1    2    2    0    3  6.671567 0.572447 SUCCESS  85
101011000    5    2    2    2    4    1    4    3  6.138673 0.631702 SUCCESS  86
101011100    3    5    1    3    4    0    2    2  7.644677 0.468925 SUCCESS  87
101100000    2    5    3    2    3    4    1    2  5.228451 0.732903 SUCCESS  88
101100100    3    4    4    5    4    3    4    2  7.363336 0.497986 SUCCESS  89
101101000    1    3    1    2    2    3    5    3  5.102675 0.746548 SUCCESS  90
101101100    0    2    2    2    1    3    4    1  5.635568 0.687978 SUCCESS  91
101110000    5    5    3    5    2    0    3    2 11.348454 0.182726 SUCCESS  92
101110100    0    3    4    4    3    3    2    2  5.165563 0.739743 SUCCESS  93
101111000    1    2    4    0    1    1    2    1  7.141573 0.521438 SUCCESS  94
101111100    1    1    1    3    4    1    1    3  5.635568 0.687978 SUCCESS  95
110000000    1    3    3    2    0    3    1    5  7.518901 0.481816 SUCCESS  96
110000010    1    1    2    3    2    3    4    3  3.345118 0.910872 SUCCESS  97
110000100    0    3    3    2    1    1    2    2  4.725346 0.786488 SUCCESS  98
110001000    2    2    2    2    1    4    2    2  2.372008 0.967432 SUCCESS  99
110001010    4    4    1    1    2    3    0    1  7.393125 0.494871 SUCCESS 100
110010000    6    4    2    4    4    2    2    2  8.869340 0.353438 SUCCESS 101
110010010    2    3    4    1    2    4    1    3  4.255341 0.833382 SUCCESS 102
110010100    2    1    3    3    7    2    6    0 18.064239 0.020750 SUCCESS 103
110011000    2    1    0    1    0    2    1    2  7.800242 0.453223 SUCCESS 104
110011010    3    5    3    2    4    2    3    3  4.569781 0.802412 SUCCESS 105
110100000    0    2    3    2    3    1    1    2  4.725346 0.786488 SUCCESS 106
110100010    3    3    0    1    0    3    3    4  7.456013 0.488323 SUCCESS 107
110100100    5    0    4    3    1    4    3    2  8.617787 0.375557 SUCCESS 108
110101000    4    2    1    2    2    4    1    2  4.129564 0.845248 SUCCESS 109
110101010    2    5    3    1    4    2    1    1  6.734455 0.565535 SUCCESS 110
